dependent,spec_name,param,n_models,sig10,sig5,pos_sig10,neg_sig10,median_coef,median_t_hac,mean_r2
future_es,dq_only,dq_es,24,9,7,7,2,0.0077985112586889,0.3027525021377096,0.0829092125004281
future_es,dr_only,dr_es_concentration,24,13,10,8,5,0.0083908384966944,0.2671041331942832,0.08874026754411023
future_es,dq_dr,dq_es,24,2,2,0,2,0.00364068091676805,0.196790085448142,0.10893985964736784
future_es,dq_dr,dr_es_concentration,24,8,5,3,5,-0.006370012862888999,-0.16009670078474605,0.10893985964736784
future_es,dq_dr_current_es,dq_es,24,3,2,1,2,0.001611493078977,0.040130153145523095,0.12676507502103662
future_es,dq_dr_current_es,dr_es_concentration,24,1,0,0,1,0.062408367981626245,0.768823286724654,0.12676507502103662
future_es,full,dq_es,24,4,2,1,3,-0.0420923950654775,-0.2043419120157663,0.47798825611603474
future_es,full,dr_es_concentration,24,8,5,0,8,-0.17219202841385114,-1.4187992041248934,0.47798825611603474
future_mdd,dq_only,dq_es,24,5,3,3,2,0.0112275816177172,0.2682546766518708,0.06262499733805542
future_mdd,dr_only,dr_es_concentration,24,13,10,8,5,0.050066993683147154,0.69915946328613,0.06388794677244282
future_mdd,dq_dr,dq_es,24,2,2,0,2,-0.0313442521290657,-0.43446690817147143,0.08725379353192775
future_mdd,dq_dr,dr_es_concentration,24,9,5,8,1,0.07474687223009996,0.6240698117516412,0.08725379353192775
future_mdd,dq_dr_current_es,dq_es,24,7,5,0,7,-0.0720011019269235,-0.39471372302012186,0.10633525540649054
future_mdd,dq_dr_current_es,dr_es_concentration,24,4,3,0,4,0.0642743460830956,0.24672872546933056,0.10633525540649054
future_mdd,full,dq_es,24,5,2,0,5,-0.07045867376483356,-0.14674362401025046,0.3842925502194834
future_mdd,full,dr_es_concentration,24,16,11,1,15,-0.8099358814860589,-1.9014381350529463,0.3842925502194834
future_rv_ann,dq_only,dq_es,24,13,12,11,2,0.1357235278668017,1.3742829842949518,0.08783603013939607
future_rv_ann,dr_only,dr_es_concentration,24,14,12,10,4,0.18595419179903525,1.2878319710036426,0.10296144720720694
future_rv_ann,dq_dr,dq_es,24,3,2,1,2,0.054109587732220354,0.49722977655794326,0.12148157158701516
future_rv_ann,dq_dr,dr_es_concentration,24,10,7,6,4,0.0872327816253312,0.3573261654723802,0.12148157158701516
future_rv_ann,dq_dr_current_es,dq_es,24,3,2,1,2,0.0634100346584422,0.38419252771054624,0.14436218169097417
future_rv_ann,dq_dr_current_es,dr_es_concentration,24,0,0,0,0,0.4736241132801574,0.7450058488158648,0.14436218169097417
future_rv_ann,full,dq_es,24,3,2,1,2,-0.11266413464520164,-0.1607525469572909,0.4918654313287269
future_rv_ann,full,dr_es_concentration,24,9,8,0,9,-0.9425282679046327,-1.3557149897520846,0.4918654313287269
future_tail_event,dq_only,dq_es,24,10,4,10,0,0.42628679719934726,1.0791689895423409,0.037873171755477296
future_tail_event,dr_only,dr_es_concentration,24,7,5,0,7,-0.2137015303640713,-0.41969207039833134,0.02995229540078208
future_tail_event,dq_dr,dq_es,24,17,13,17,0,1.293928561699735,2.2700334909169597,0.12678393058795115
future_tail_event,dq_dr,dr_es_concentration,24,15,12,0,15,-1.6631209896328842,-2.0993128995179755,0.12678393058795115
future_tail_event,dq_dr_current_es,dq_es,24,14,12,14,0,1.640590828091093,1.8729764166994531,0.1561010568688924
future_tail_event,dq_dr_current_es,dr_es_concentration,24,7,6,1,6,-0.6923249452352884,-0.37546915565841193,0.1561010568688924
future_tail_event,full,dq_es,24,9,8,9,0,1.9241166056789096,1.1252061208830346,0.2608440530589111
future_tail_event,full,dr_es_concentration,24,16,14,0,16,-4.724072991276685,-2.1687636453445274,0.2608440530589111
future_var,dq_only,dq_es,24,9,6,7,2,0.0126806937598422,1.1003973799673699,0.06094165605374572
future_var,dr_only,dr_es_concentration,24,13,12,9,4,0.021215000607066,1.0828191895420782,0.08581126305083696
future_var,dq_dr,dq_es,24,0,0,0,0,-0.0023010016416774,-0.09392538012946015,0.09385493187144456
future_var,dq_dr,dr_es_concentration,24,11,7,8,3,0.012567741006557,0.34187572420854234,0.09385493187144456
future_var,dq_dr_current_es,dq_es,24,1,1,0,1,-0.00593311751476745,-0.27046368391968323,0.11108230687729714
future_var,dq_dr_current_es,dr_es_concentration,24,3,1,0,3,0.026791468122201602,0.37967575896863653,0.11108230687729714
future_var,full,dq_es,24,2,1,0,2,0.02761980476302395,0.3674264051697509,0.4074856863059692
future_var,full,dr_es_concentration,24,16,10,1,15,-0.1476625647458156,-1.890328367701375,0.4074856863059692
