dependent,spec,param,n_models,sig10,sig5,pos_sig10,neg_sig10,median_coef,median_t_hac,mean_r2,min_pvalue
future_es,interact_alpha_heaviness_below2,z_dq_x_heavy,16,5,3,3,2,0.0006354173066409001,0.47558151255576603,0.044999189713826465,1.5338184638028128e-23
future_es,interact_alpha_heaviness_below2,z_dr_x_heavy,16,7,6,2,5,0.0009501931784976,0.3646609426438638,0.044999189713826465,1.090648791444833e-19
future_es,interact_alpha_heaviness_below2_controls,z_dq_x_heavy,16,4,4,2,2,-0.0061465827312114,-0.6520815571112979,0.09512828254964081,4.887330329285656e-05
future_es,interact_alpha_heaviness_below2_controls,z_dr_x_heavy,16,7,6,1,6,-0.010630603855137751,-0.9038936933180832,0.09512828254964081,2.4492109478766483e-12
future_es,interact_alpha_heaviness_inv,z_dq_x_heavy,24,7,4,0,7,-0.008769009124263,-1.1979238289247804,0.183454737273565,0.0381315800120819
future_es,interact_alpha_heaviness_inv,z_dr_x_heavy,24,11,4,10,1,0.01089979750742385,1.3129808469594249,0.183454737273565,0.0001700485199811
future_es,interact_alpha_heaviness_inv_controls,z_dq_x_heavy,24,5,2,0,5,-0.00776382801443885,-1.053124804891556,0.24355069526753895,0.0013721297631991
future_es,interact_alpha_heaviness_inv_controls,z_dr_x_heavy,24,5,1,4,1,0.0080527848682397,0.6603423383206146,0.24355069526753895,0.0001257070241447
future_es,interact_alpha_heaviness_q25_below2,z_dq_x_heavy,24,6,4,3,3,-0.0013305588159281002,-0.12007066321237586,0.1416981593569747,0.0089302080261141
future_es,interact_alpha_heaviness_q25_below2,z_dr_x_heavy,24,8,5,2,6,-0.01208877303800075,-0.9755051328037618,0.1416981593569747,0.0004382291295599
future_es,interact_alpha_heaviness_q25_below2_controls,z_dq_x_heavy,24,11,8,6,5,6.905358838285016e-05,-0.013670639485888994,0.2211722558505069,0.0001637220958651
future_es,interact_alpha_heaviness_q25_below2_controls,z_dr_x_heavy,24,11,7,2,9,-0.0349568925464204,-1.4120207361978494,0.2211722558505069,9.705168452568088e-05
future_mdd,interact_alpha_heaviness_below2,z_dq_x_heavy,16,9,9,4,5,-0.0185549452258889,-1.0642801873847825,0.07407388108604174,2.0769388401505103e-41
future_mdd,interact_alpha_heaviness_below2,z_dr_x_heavy,16,11,10,7,4,0.0015911557751493006,0.054941475796840694,0.07407388108604174,1.5037347845623283e-68
future_mdd,interact_alpha_heaviness_below2_controls,z_dq_x_heavy,16,8,5,4,4,-0.017965475774632547,-0.6800697262864934,0.1261765965160257,1.611337853554882e-08
future_mdd,interact_alpha_heaviness_below2_controls,z_dr_x_heavy,16,8,8,4,4,-0.0125091208749035,-0.258492754320996,0.1261765965160257,2.161428508750945e-36
future_mdd,interact_alpha_heaviness_inv,z_dq_x_heavy,24,12,8,0,12,-0.0278227879880842,-1.5366249621936992,0.18477915715818635,0.0007192286142127
future_mdd,interact_alpha_heaviness_inv,z_dr_x_heavy,24,11,7,10,1,0.032158375756784596,1.4503412090366021,0.18477915715818635,0.0002233853510106
future_mdd,interact_alpha_heaviness_inv_controls,z_dq_x_heavy,24,7,3,0,7,-0.02673901816738635,-1.152691652267182,0.2229177403939807,2.786308427672176e-12
future_mdd,interact_alpha_heaviness_inv_controls,z_dr_x_heavy,24,6,4,5,1,0.03233517188193165,0.6092103995867943,0.2229177403939807,9.04348098956576e-05
future_mdd,interact_alpha_heaviness_q25_below2,z_dq_x_heavy,24,5,3,2,3,-0.0185989309052838,-0.5192938573787358,0.14427693470649017,3.1855334933247534e-23
future_mdd,interact_alpha_heaviness_q25_below2,z_dr_x_heavy,24,5,4,1,4,-0.02456440667829725,-0.561797007933669,0.14427693470649017,3.6199759284241086e-13
future_mdd,interact_alpha_heaviness_q25_below2_controls,z_dq_x_heavy,24,9,8,6,3,-0.0184169711368221,-0.43843155282784674,0.21236414288366715,4.299104542711736e-14
future_mdd,interact_alpha_heaviness_q25_below2_controls,z_dr_x_heavy,24,13,9,1,12,-0.0816531962142577,-1.397530534948706,0.21236414288366715,7.630212039444239e-09
future_rv_ann,interact_alpha_heaviness_below2,z_dq_x_heavy,16,8,8,7,1,0.0983808197544934,1.4997975210152532,0.07016230370862872,1.9707016941534789e-134
future_rv_ann,interact_alpha_heaviness_below2,z_dr_x_heavy,16,7,7,2,5,-0.0497468198210834,-0.8918037806047333,0.07016230370862872,1.0277009368284083e-123
future_rv_ann,interact_alpha_heaviness_below2_controls,z_dq_x_heavy,16,6,5,6,0,0.059619423893104595,0.9070969448119703,0.12961461377277378,8.284489332219838e-29
future_rv_ann,interact_alpha_heaviness_below2_controls,z_dr_x_heavy,16,8,8,0,8,-0.08569698604998166,-1.785339396279359,0.12961461377277378,2.197773093422351e-91
future_rv_ann,interact_alpha_heaviness_inv,z_dq_x_heavy,24,11,7,0,11,-0.0646686243126961,-1.622244747233624,0.21755074759200296,0.0004229934207918
future_rv_ann,interact_alpha_heaviness_inv,z_dr_x_heavy,24,12,8,10,2,0.06932091539573504,1.574291946603499,0.21755074759200296,9.75869164112378e-05
future_rv_ann,interact_alpha_heaviness_inv_controls,z_dq_x_heavy,24,10,8,0,10,-0.06850301815676199,-1.562148732807806,0.28759390166961385,3.218947804250854e-11
future_rv_ann,interact_alpha_heaviness_inv_controls,z_dr_x_heavy,24,7,4,7,0,0.06822034642117394,1.1289503183165988,0.28759390166961385,9.021905913432264e-05
future_rv_ann,interact_alpha_heaviness_q25_below2,z_dq_x_heavy,24,7,4,6,1,0.0344528485294666,0.7464425865561451,0.16718703554796066,0.0002001481638159
future_rv_ann,interact_alpha_heaviness_q25_below2,z_dr_x_heavy,24,9,7,1,8,-0.10178859091049185,-1.3526903439614064,0.16718703554796066,4.80618175388309e-07
future_rv_ann,interact_alpha_heaviness_q25_below2_controls,z_dq_x_heavy,24,10,9,8,2,0.0456732419447566,0.4284535991175189,0.25878703959809846,5.197847599304357e-07
future_rv_ann,interact_alpha_heaviness_q25_below2_controls,z_dr_x_heavy,24,12,11,1,11,-0.2037736568894537,-1.487921417674836,0.25878703959809846,0.000247901295005
future_tail_event,interact_alpha_heaviness_below2,z_dq_x_heavy,16,6,5,4,2,0.008101392419739348,0.18072420491495178,0.15735299576827944,9.660794052012915e-08
future_tail_event,interact_alpha_heaviness_below2,z_dr_x_heavy,16,9,8,7,2,0.0072096697914206505,0.7294154969642764,0.15735299576827944,1.6176403627487995e-10
future_tail_event,interact_alpha_heaviness_below2_controls,z_dq_x_heavy,16,2,1,2,0,-0.00409566579973295,-0.08495596687428306,0.21072420851068502,8.740073926786198e-05
future_tail_event,interact_alpha_heaviness_below2_controls,z_dr_x_heavy,16,7,7,5,2,-0.0759617029078051,-0.26885291199363476,0.21072420851068502,2.99250444996776e-05
future_tail_event,interact_alpha_heaviness_inv,z_dq_x_heavy,24,10,5,0,10,-0.1397132037179099,-1.3204403428760525,0.23496548238490586,1.4247229381723217e-05
future_tail_event,interact_alpha_heaviness_inv,z_dr_x_heavy,24,5,4,4,1,0.0813260629828417,0.6496126562056419,0.23496548238490586,9.488379963773995e-10
future_tail_event,interact_alpha_heaviness_inv_controls,z_dq_x_heavy,24,7,5,1,6,-0.13543675328394006,-0.9271058790661479,0.26007330193155914,1.062008062244114e-16
future_tail_event,interact_alpha_heaviness_inv_controls,z_dr_x_heavy,24,5,4,1,4,-0.009219317050198399,-0.0419963695768507,0.26007330193155914,0.0004691738441175
future_tail_event,interact_alpha_heaviness_q25_below2,z_dq_x_heavy,24,4,4,3,1,0.12275746182303815,0.8753860041367383,0.18617170685551643,0.000405813952752
future_tail_event,interact_alpha_heaviness_q25_below2,z_dr_x_heavy,24,9,6,1,8,-0.25201398020643706,-1.3730467964279662,0.18617170685551643,0.0014234569830016
future_tail_event,interact_alpha_heaviness_q25_below2_controls,z_dq_x_heavy,24,6,3,6,0,0.17751218564622934,0.7563926713808561,0.24734083735948678,1.1355970385564597e-12
future_tail_event,interact_alpha_heaviness_q25_below2_controls,z_dr_x_heavy,24,11,8,0,11,-0.49175867485604585,-1.5340510640874463,0.24734083735948678,4.2201811963447405e-11
future_var,interact_alpha_heaviness_below2,z_dq_x_heavy,16,6,5,3,3,-0.00053455957972675,-0.43564692582652553,0.09494295026225776,1.2270945708335969e-116
future_var,interact_alpha_heaviness_below2,z_dr_x_heavy,16,10,7,6,4,0.0011668887013316501,0.5664325446037434,0.09494295026225776,1.2072090471070038e-225
future_var,interact_alpha_heaviness_below2_controls,z_dq_x_heavy,16,6,3,3,3,-0.0023738704840075998,-0.3807486273494085,0.1583976122905975,2.537620976492937e-26
future_var,interact_alpha_heaviness_below2_controls,z_dr_x_heavy,16,7,7,3,4,-0.003112668393633157,-0.2344007985410928,0.1583976122905975,7.182645249668304e-79
future_var,interact_alpha_heaviness_inv,z_dq_x_heavy,24,12,9,0,12,-0.0067346140340411,-1.660418968594069,0.20709146312976925,9.773212312387183e-05
future_var,interact_alpha_heaviness_inv,z_dr_x_heavy,24,13,10,12,1,0.00861127687357025,1.6157374740447557,0.20709146312976925,0.0002298576794332
future_var,interact_alpha_heaviness_inv_controls,z_dq_x_heavy,24,9,7,0,9,-0.00743874838693435,-1.1685542281182997,0.24928651749127187,1.6246267765749637e-12
future_var,interact_alpha_heaviness_inv_controls,z_dr_x_heavy,24,9,6,8,1,0.01050453252610415,1.026340706853793,0.24928651749127187,8.660034158423442e-08
future_var,interact_alpha_heaviness_q25_below2,z_dq_x_heavy,24,6,4,3,3,-0.00462235952327545,-0.4151219962356839,0.15945313140288903,1.7173972079098138e-06
future_var,interact_alpha_heaviness_q25_below2,z_dr_x_heavy,24,8,5,1,7,-0.0085425729841204,-0.8479456407150519,0.15945313140288903,0.0003280018887944
future_var,interact_alpha_heaviness_q25_below2_controls,z_dq_x_heavy,24,11,8,8,3,-0.000579005913256215,-0.10751716754299749,0.23973074648436957,1.5795821692760426e-24
future_var,interact_alpha_heaviness_q25_below2_controls,z_dr_x_heavy,24,10,7,1,9,-0.02410333994427675,-1.3612086199653746,0.23973074648436957,1.6966094534086767e-14
