period,window,horizon,tail_prob,var1,var2,corr,n_obs
baseline_2018,504,21,0.025,dq_es,alpha_heaviness_inv,0.8975998813004943,76
baseline_2018,504,21,0.025,dq_es,alpha_median,-0.8009430567953812,76
baseline_2018,504,21,0.025,dr_es_concentration,alpha_heaviness_inv,0.3557631381723444,76
baseline_2018,504,21,0.025,dq_es,dr_es_concentration,0.5610678409232731,76
baseline_2018,504,21,0.025,dq_es,future_tail_event,0.1925017642337044,76
baseline_2018,504,21,0.025,dr_es_concentration,future_tail_event,-0.16283411943328466,76
baseline_2018,504,21,0.025,alpha_heaviness_inv,future_tail_event,0.23378622863748472,76
baseline_2018,504,21,0.025,p_alpha_gt_2_mean,future_tail_event,-0.15957149695680312,76
baseline_2018,504,21,0.05,dq_es,alpha_heaviness_inv,0.909602049009609,76
baseline_2018,504,21,0.05,dq_es,alpha_median,-0.8681457771955725,76
baseline_2018,504,21,0.05,dr_es_concentration,alpha_heaviness_inv,0.026502151124145862,76
baseline_2018,504,21,0.05,dq_es,dr_es_concentration,0.21348243606604903,76
baseline_2018,504,21,0.05,dq_es,future_tail_event,0.13064282807778016,76
baseline_2018,504,21,0.05,dr_es_concentration,future_tail_event,-0.24906169870809364,76
baseline_2018,504,21,0.05,alpha_heaviness_inv,future_tail_event,0.1604059883014954,76
baseline_2018,504,21,0.05,p_alpha_gt_2_mean,future_tail_event,-0.08592428079161027,76
baseline_2018,504,63,0.025,dq_es,alpha_heaviness_inv,0.8980775430515361,74
baseline_2018,504,63,0.025,dq_es,alpha_median,-0.8101707541561228,74
baseline_2018,504,63,0.025,dr_es_concentration,alpha_heaviness_inv,0.37281012013120174,74
baseline_2018,504,63,0.025,dq_es,dr_es_concentration,0.5710169613346757,74
baseline_2018,504,63,0.025,dq_es,future_tail_event,0.34284730800121094,74
baseline_2018,504,63,0.025,dr_es_concentration,future_tail_event,-0.04395548716554442,74
baseline_2018,504,63,0.025,alpha_heaviness_inv,future_tail_event,0.40042812476676026,74
baseline_2018,504,63,0.025,p_alpha_gt_2_mean,future_tail_event,-0.31162127329797207,74
baseline_2018,504,63,0.05,dq_es,alpha_heaviness_inv,0.9031934881417425,74
baseline_2018,504,63,0.05,dq_es,alpha_median,-0.8644611477247242,74
baseline_2018,504,63,0.05,dr_es_concentration,alpha_heaviness_inv,0.05382541727926899,74
baseline_2018,504,63,0.05,dq_es,dr_es_concentration,0.2451800422009158,74
baseline_2018,504,63,0.05,dq_es,future_tail_event,0.24063498908123365,74
baseline_2018,504,63,0.05,dr_es_concentration,future_tail_event,-0.1938649009637297,74
baseline_2018,504,63,0.05,alpha_heaviness_inv,future_tail_event,0.26503427649690886,74
baseline_2018,504,63,0.05,p_alpha_gt_2_mean,future_tail_event,-0.14657214472359867,74
baseline_2018,756,21,0.025,dq_es,alpha_heaviness_inv,0.9123583142007738,64
baseline_2018,756,21,0.025,dq_es,alpha_median,-0.8825123458053239,64
baseline_2018,756,21,0.025,dr_es_concentration,alpha_heaviness_inv,0.48825929071458063,64
baseline_2018,756,21,0.025,dq_es,dr_es_concentration,0.6946164391048067,64
baseline_2018,756,21,0.025,dq_es,future_tail_event,0.14934953012568766,64
baseline_2018,756,21,0.025,dr_es_concentration,future_tail_event,-0.13915706193343438,64
baseline_2018,756,21,0.025,alpha_heaviness_inv,future_tail_event,0.18415544271203577,64
baseline_2018,756,21,0.025,p_alpha_gt_2_mean,future_tail_event,-0.12458475251449469,64
baseline_2018,756,21,0.05,dq_es,alpha_heaviness_inv,0.9012310482284132,64
baseline_2018,756,21,0.05,dq_es,alpha_median,-0.8731412679400442,64
baseline_2018,756,21,0.05,dr_es_concentration,alpha_heaviness_inv,0.19889500362281073,64
baseline_2018,756,21,0.05,dq_es,dr_es_concentration,0.4276384421838705,64
baseline_2018,756,21,0.05,dq_es,future_tail_event,0.0944443089986439,64
baseline_2018,756,21,0.05,dr_es_concentration,future_tail_event,-0.2177589848145308,64
baseline_2018,756,21,0.05,alpha_heaviness_inv,future_tail_event,0.10225591970393465,64
baseline_2018,756,21,0.05,p_alpha_gt_2_mean,future_tail_event,-0.06720535724402409,64
baseline_2018,756,63,0.025,dq_es,alpha_heaviness_inv,0.9047872888365703,62
baseline_2018,756,63,0.025,dq_es,alpha_median,-0.8734239823595187,62
baseline_2018,756,63,0.025,dr_es_concentration,alpha_heaviness_inv,0.5058345288301767,62
baseline_2018,756,63,0.025,dq_es,dr_es_concentration,0.716982587321532,62
baseline_2018,756,63,0.025,dq_es,future_tail_event,0.448144975677019,62
baseline_2018,756,63,0.025,dr_es_concentration,future_tail_event,-0.019178184237696162,62
baseline_2018,756,63,0.025,alpha_heaviness_inv,future_tail_event,0.5836604876158346,62
baseline_2018,756,63,0.025,p_alpha_gt_2_mean,future_tail_event,-0.4922727285970207,62
baseline_2018,756,63,0.05,dq_es,alpha_heaviness_inv,0.8921219792327132,62
baseline_2018,756,63,0.05,dq_es,alpha_median,-0.8620125021164137,62
baseline_2018,756,63,0.05,dr_es_concentration,alpha_heaviness_inv,0.2359682302140229,62
baseline_2018,756,63,0.05,dq_es,dr_es_concentration,0.47243321011865974,62
baseline_2018,756,63,0.05,dq_es,future_tail_event,0.21264932988347274,62
baseline_2018,756,63,0.05,dr_es_concentration,future_tail_event,-0.18828969418431366,62
baseline_2018,756,63,0.05,alpha_heaviness_inv,future_tail_event,0.23640139722877418,62
baseline_2018,756,63,0.05,p_alpha_gt_2_mean,future_tail_event,-0.18300613172314387,62
baseline_2018,1008,21,0.025,dq_es,alpha_heaviness_inv,0.6573546905445712,52
baseline_2018,1008,21,0.025,dq_es,alpha_median,-0.6853663123966836,52
baseline_2018,1008,21,0.025,dr_es_concentration,alpha_heaviness_inv,0.2442935580644561,52
baseline_2018,1008,21,0.025,dq_es,dr_es_concentration,0.6692910231844929,52
baseline_2018,1008,21,0.025,dq_es,future_tail_event,-0.010021027212298248,52
baseline_2018,1008,21,0.025,dr_es_concentration,future_tail_event,-0.34756195751900465,52
baseline_2018,1008,21,0.025,alpha_heaviness_inv,future_tail_event,0.1445210703694313,52
baseline_2018,1008,21,0.025,p_alpha_gt_2_mean,future_tail_event,-0.098764330886832,52
baseline_2018,1008,21,0.05,dq_es,alpha_heaviness_inv,0.6479189805384702,52
baseline_2018,1008,21,0.05,dq_es,alpha_median,-0.6768045536152038,52
baseline_2018,1008,21,0.05,dr_es_concentration,alpha_heaviness_inv,-0.041528171210420024,52
baseline_2018,1008,21,0.05,dq_es,dr_es_concentration,0.4351403598669861,52
baseline_2018,1008,21,0.05,dq_es,future_tail_event,-0.0039588589926977955,52
baseline_2018,1008,21,0.05,dr_es_concentration,future_tail_event,-0.34454264430004916,52
