secid,n_obs,n_days,date_min,date_max,zero_share,abs_q99,abs_max,ann_vol,es_975,hill_alpha,period_days,coverage,passes_basic,prefix_preferred,selected,period,market
SBERP,2873,2873,2015-01-05,2026-05-15,0.006961364427427776,0.0618258748388428,0.63559653294364,0.34358156211399765,0.06076818172493389,2.440376611128757,2873,1.0,True,True,True,full_2015,shares
LKOH,2873,2873,2015-01-05,2026-05-15,0.00904977375565611,0.060680969807989,0.407379940312936,0.3190391264784,0.05622431481114719,2.542626489424476,2873,1.0,True,True,True,full_2015,shares
SBER,2873,2873,2015-01-05,2026-05-15,0.009397841977027498,0.06275981053462241,0.616410114339563,0.3564074006280278,0.06547176967904224,2.816320687527425,2873,1.0,True,True,True,full_2015,shares
CHMF,2873,2873,2015-01-05,2026-05-15,0.010093978419770276,0.05770715567990492,0.302060555791906,0.3097045198839411,0.05311964068399136,2.452740219502747,2873,1.0,True,True,True,full_2015,shares
SNGSP,2873,2873,2015-01-05,2026-05-15,0.010093978419770276,0.0548822209549882,0.233177982468668,0.2712747184254316,0.047063304844294246,2.7789403808867865,2873,1.0,True,True,True,full_2015,shares
TATN,2873,2873,2015-01-05,2026-05-15,0.010093978419770276,0.0694603610951092,0.376056156897347,0.3543215941025969,0.06114433551103035,2.967407860327666,2873,1.0,True,True,True,full_2015,shares
MTLR,2873,2873,2015-01-05,2026-05-15,0.010790114862513052,0.12505396322373286,0.63252255874351,0.5363480862451079,0.0901458785363661,2.2408706464766075,2873,1.0,True,True,True,full_2015,shares
ALRS,2873,2873,2015-01-05,2026-05-15,0.01148625130525583,0.06127769021983087,0.383961034172227,0.3339229778495213,0.05864057917383376,2.924981634310642,2873,1.0,True,True,True,full_2015,shares
AFKS,2873,2873,2015-01-05,2026-05-15,0.011834319526627219,0.07979898953971805,0.487901504368368,0.41240912385674694,0.07739010467870427,2.311259384307735,2873,1.0,True,True,True,full_2015,shares
GAZP,2873,2873,2015-01-05,2026-05-15,0.011834319526627219,0.06627107847133691,0.404406906951217,0.34908179278032364,0.05961185673472972,2.6166249693005765,2873,1.0,True,True,True,full_2015,shares
MAGN,2873,2873,2015-01-05,2026-05-15,0.011834319526627219,0.06262592528934414,0.264027502912808,0.3302587884807438,0.05653356449815713,3.249683275094429,2873,1.0,True,True,True,full_2015,shares
NLMK,2873,2873,2015-01-05,2026-05-15,0.011834319526627219,0.057251319846530604,0.268333887335655,0.31389465262434385,0.053432471634710994,3.3478054174215615,2873,1.0,True,True,True,full_2015,shares
MGNT,2873,2873,2015-01-05,2026-05-15,0.012182387747998607,0.06427395659144972,0.446857979755829,0.33685724472864276,0.06383305347682446,2.5248847479789274,2873,1.0,True,True,True,full_2015,shares
NVTK,2873,2873,2015-01-05,2026-05-15,0.012182387747998607,0.060980716011289,0.277857986331317,0.3249460370330712,0.055772310779323736,2.944676471046066,2873,1.0,True,True,True,full_2015,shares
ROSN,2873,2873,2015-01-05,2026-05-15,0.013226592412112773,0.05729022837156439,0.482715911930682,0.33269316062857257,0.05876568755775313,2.781755460630797,2873,1.0,True,True,True,full_2015,shares
RASP,2873,2873,2015-01-05,2026-05-15,0.013574660633484163,0.0916793174969974,0.591867283489177,0.4355075159374291,0.07396948367164832,2.485964590583537,2873,1.0,True,True,True,full_2015,shares
HYDR,2873,2873,2015-01-05,2026-05-15,0.01427079707622694,0.06751921243507489,0.143744758666141,0.2961540707721272,0.05216589646198452,2.8429721387576827,2873,1.0,True,True,True,full_2015,shares
TATNP,2873,2873,2015-01-05,2026-05-15,0.01427079707622694,0.06677782076752994,0.51864308887114,0.34780714429189236,0.05986207727551232,2.5622885889838,2873,1.0,True,True,True,full_2015,shares
SNGS,2873,2873,2015-01-05,2026-05-15,0.01461886529759833,0.07323439560744532,0.424824096385295,0.3469744355203116,0.05966421537799777,2.6760207598088064,2873,1.0,True,True,True,full_2015,shares
SIBN,2873,2873,2015-01-05,2026-05-15,0.014966933518969718,0.053103840295911614,0.31125908040825,0.27065646417174644,0.04989990043772888,2.740855748944849,2873,1.0,True,True,True,full_2015,shares
MOEX,2873,2873,2015-01-05,2026-05-15,0.015315001740341106,0.05400576910539183,0.200565082112526,0.2790003391481378,0.047283650721943876,3.722035845285367,2873,1.0,True,True,True,full_2015,shares
FEES,2873,2873,2015-01-05,2026-05-15,0.015663069961712496,0.074615855267072,0.385602479011913,0.3583996240279864,0.06676603653237279,2.457370090219368,2873,1.0,True,True,True,full_2015,shares
PHOR,2873,2873,2015-01-05,2026-05-15,0.016011138183083886,0.05239906113906787,0.25859711863899,0.2715457068839382,0.04444721381773388,2.855486618431195,2873,1.0,True,True,True,full_2015,shares
MTSS,2873,2873,2015-01-05,2026-05-15,0.016359206404455272,0.0541092282575187,0.28796823642569,0.27445161837815235,0.04919967970622271,2.9628235686875577,2873,1.0,True,True,True,full_2015,shares
MSNG,2873,2873,2015-01-05,2026-05-15,0.016707274625826662,0.07078998650403164,0.294887456173051,0.3272402304847273,0.05863945559863595,2.90170099639055,2873,1.0,True,True,True,full_2015,shares
OGKB,2873,2873,2015-01-05,2026-05-15,0.016707274625826662,0.08400051253249073,0.529053780200636,0.3952709868102056,0.06901392650791834,2.8443010224048275,2873,1.0,True,True,True,full_2015,shares
RTKM,2873,2873,2015-01-05,2026-05-15,0.01809954751131222,0.05482634007511711,0.132324877296182,0.2559181223344376,0.04810928731662789,3.946749228187429,2873,1.0,True,True,True,full_2015,shares
TGKA,2873,2873,2015-01-05,2026-05-15,0.021232161503654718,0.08426783014866918,0.367869090681885,0.3564643090653812,0.06523236662873333,2.1440567225233527,2873,1.0,True,True,True,full_2015,shares
BANE,2873,2873,2015-01-05,2026-05-15,0.025060911938739994,0.07303681429279452,0.240839609077498,0.3311915438655965,0.06150100834250319,3.4679380602071963,2873,1.0,True,True,True,full_2015,shares
MVID,2873,2873,2015-01-05,2026-05-15,0.02540898016011138,0.07848827209939549,0.358508125020393,0.3843622873393274,0.07350373927786004,2.441193459218842,2873,1.0,True,True,True,full_2015,shares
BANEP,2873,2873,2015-01-05,2026-05-15,0.026453184824225547,0.06964657534661814,0.614633914938307,0.34757609270964845,0.061860867225309195,2.33221955473533,2873,1.0,True,True,True,full_2015,shares
LSRG,2873,2873,2015-01-05,2026-05-15,0.026801253045596937,0.06855000900149241,0.344442375503098,0.32046145686543626,0.06136163166100032,3.043022990389164,2873,1.0,True,True,True,full_2015,shares
TRMK,2873,2873,2015-01-05,2026-05-15,0.027149321266968326,0.08853608558232826,0.351426398392198,0.39927311866985893,0.06280033729961791,3.06991415399831,2873,1.0,True,True,True,full_2015,shares
UNAC,2873,2873,2015-01-05,2026-05-15,0.02923773059519666,0.11082238670987722,0.447799471934725,0.5052787135015376,0.08086685275197088,2.68339726812123,2873,1.0,True,True,True,full_2015,shares
BSPB,2873,2873,2015-01-05,2026-05-15,0.029585798816568046,0.07339527916474586,0.336472236621213,0.33348756732572077,0.05740272534629382,2.2886564938120113,2873,1.0,True,True,True,full_2015,shares
PIKK,2873,2873,2015-01-05,2026-05-15,0.03202227636616777,0.07931023799743768,0.317095957658074,0.34285212154405625,0.06722476467185395,2.392563508300666,2873,1.0,True,True,True,full_2015,shares
SELG,2873,2873,2015-01-05,2026-05-15,0.03445875391576749,0.10941056068965702,0.692177718535397,0.46891021880068995,0.07103749109072527,2.738788001291685,2873,1.0,True,True,True,full_2015,shares
APTK,2873,2873,2015-01-05,2026-05-15,0.03480682213713888,0.08564462876177058,0.442138609446128,0.37917850634828376,0.05958143479333833,2.8316525466936184,2873,1.0,True,True,True,full_2015,shares
NKNCP,2873,2873,2015-01-05,2026-05-15,0.03480682213713888,0.06782519407568163,0.529307843628938,0.3689547218807309,0.06420886353395507,2.009417007044779,2873,1.0,True,True,True,full_2015,shares
MRKV,2873,2873,2015-01-05,2026-05-15,0.03515489035851027,0.08555288533504402,0.377134601481938,0.37577688771176704,0.06470854752544786,2.6614218473111695,2873,1.0,True,True,True,full_2015,shares
AKRN,2873,2873,2015-01-05,2026-05-15,0.035851026801253044,0.062063236722498145,0.336350441358898,0.2881809977617633,0.0497416142752751,3.1199997620658575,2873,1.0,True,True,True,full_2015,shares
MRKC,2873,2873,2015-01-05,2026-05-15,0.035851026801253044,0.07353461887739152,0.38203051556042,0.3390348365643039,0.06151539868754071,2.4161481033527417,2873,1.0,True,True,True,full_2015,shares
FESH,2873,2873,2015-01-05,2026-05-15,0.03619909502262444,0.11118263304754424,0.441651214654868,0.4911640338001973,0.08174541431645456,2.4204007389760247,2873,1.0,True,True,True,full_2015,shares
MRKP,2873,2873,2015-01-05,2026-05-15,0.03689523146536721,0.06947799728902936,0.361284274826444,0.3312730028432413,0.06402577031431012,2.3376063939174383,2873,1.0,True,True,True,full_2015,shares
IRKT,2873,2873,2015-01-05,2026-05-15,0.03828750435085277,0.13886009921712048,0.425380417809106,0.5442120541610134,0.09652134174829735,2.375714783843928,2873,1.0,True,True,True,full_2015,shares
RTKMP,2873,2873,2015-01-05,2026-05-15,0.04142011834319527,0.04321341061389666,0.199879869007333,0.21812419449208698,0.04081824680125621,3.4833025172982404,2873,1.0,True,True,True,full_2015,shares
NMTP,2873,2873,2015-01-05,2026-05-15,0.04316045945005221,0.07988847147206686,0.397518046415633,0.3598858521080978,0.05951561417645976,2.730824467931455,2873,1.0,True,True,True,full_2015,shares
GCHE,2873,2873,2015-01-05,2026-05-15,0.04629307344239471,0.06477275594176689,0.203939083035389,0.3009300669062587,0.05358991832494517,2.79584298064852,2873,1.0,True,True,True,full_2015,shares
MRKZ,2873,2873,2015-01-05,2026-05-15,0.04629307344239471,0.09555590162790559,0.355328142388354,0.43975845652233914,0.07262205616826406,3.064011458162337,2873,1.0,True,True,True,full_2015,shares
DVEC,2873,2873,2015-01-05,2026-05-15,0.04838148277062304,0.1392941814131394,0.33601080463579,0.5366062690857328,0.09370391375053802,2.712693934400272,2873,1.0,True,True,True,full_2015,shares
TGKB,2873,2873,2015-01-05,2026-05-15,0.04907761921336582,0.1350542155199166,0.506420330298074,0.5892090042870056,0.09232774785022221,2.593450902521789,2873,1.0,True,True,True,full_2015,shares
CHMK,2873,2873,2015-01-05,2026-05-15,0.050469892098851374,0.12415269507413906,0.481623521825059,0.5197524264776061,0.07629456894412726,2.743546909231391,2873,1.0,True,True,True,full_2015,shares
MRKY,2873,2873,2015-01-05,2026-05-15,0.05186216498433693,0.10914044801341068,0.341033934939136,0.4323042363948899,0.07266029575541105,3.5595169249271392,2873,1.0,True,True,True,full_2015,shares
