market,period,tradedate,window,horizon,tail_prob,n_assets,window_rows,future_rows,dq_es,dr_es_concentration,current_es,current_var,current_rv_ann,current_hill_alpha,future_es,future_var,future_rv_ann,future_mdd,future_cum_log_return,future_tail_event,assets
shares,full_2015,2016-01-06,252,21,0.025,80,252,21,0.15873015873015872,0.36088501282991264,0.02303137147648299,0.016146524252596356,0.14299188792193057,2.844607535408448,0.02915505680235946,0.025627184626252644,0.17527006540884613,0.05690722350789301,0.013721111251316585,1,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2016-02-08,252,21,0.025,80,252,21,0.15873015873015872,0.3914389275323817,0.024892556964443317,0.016730758719463033,0.14260970778926274,2.5518523523898895,0.009101337221379308,0.008692443100160568,0.09053248147298826,0.013754481621066073,0.043727539854706975,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2016-03-09,252,21,0.025,80,252,21,0.15873015873015872,0.400815231586658,0.024892556964443317,0.01673075871946303,0.1343714829400759,2.5518523523898895,0.0079855377737208,0.006956691097575006,0.08600623010191201,0.013817038433209694,0.05073568208542235,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2016-04-07,252,21,0.025,80,252,21,0.15873015873015872,0.36650717639121605,0.021714326532157626,0.015221087988254823,0.12040370473095727,2.3883510860511095,0.00975811585522461,0.009373435764361103,0.10899497686496788,0.03335252616258677,-0.001151460121145662,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2016-05-11,252,21,0.025,80,252,21,0.15873015873015872,0.35389661281384943,0.021211206501042756,0.013411117500707195,0.11778101012380313,2.4448618866481504,0.0068590442136812575,0.005898823205370908,0.07059518318286918,0.016396194652704477,0.008442226244197687,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2016-06-09,252,21,0.025,80,252,21,0.15873015873015872,0.356128462643123,0.021211206501042752,0.013411117500707195,0.11612761404470479,2.4448618866481504,0.009795724483606567,0.008747789712302969,0.07600552487828155,0.027954612849233285,-0.021549354993564286,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2016-07-11,252,21,0.025,80,252,21,0.15873015873015872,0.35623226992227724,0.021211206501042756,0.013269286475465289,0.11532372644269522,1.9951061303801243,0.01026509745886546,0.0061137190221792065,0.09193136146580475,0.010212591160283946,0.08523690342364952,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2016-08-09,252,21,0.025,80,252,21,0.15873015873015872,0.3559952923080862,0.021211206501042752,0.013269286475465289,0.11412712770072923,1.9450454907217796,0.003603772024023007,0.0031029918501571667,0.04869663682093532,0.0055254899058544416,0.05627883141290789,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2016-09-07,252,21,0.025,80,252,21,0.15873015873015872,0.31478553210142596,0.018250382479099405,0.011566115034076133,0.10519358495336574,2.37074122848038,0.011684473029067685,0.010119652845340875,0.08129161135317621,0.027597139894125933,-0.004831642849638045,1,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2016-10-06,252,21,0.025,80,252,21,0.15873015873015872,0.29930508412579077,0.016660388169921016,0.009785382110801528,0.10003466070174925,2.5910982513770033,0.007333526173260943,0.007107272316087957,0.06407903894479147,0.012462160691299573,0.015637666342242073,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
