market,period,tradedate,window,horizon,tail_prob,tail_group,group_mean_alpha,n_assets,current_es,current_rv_ann,future_es,future_rv_ann,future_mdd,future_cum_log_return,assets
shares,full_2015,2016-01-06,252,21,0.025,tail_group_1,2.3403077523097657,27,0.027490367115563352,0.18526192116290718,0.025867439591947407,0.17760337292455303,0.05468871193536584,-0.0012606432050139308,"AFKS,APTK,BSPB,CHMK,FESH,KMAZ,KMEZ,LNZL,MGNT,MRKC,MRKZ,MTLR,MTSS,NKNC,NKNCP,PMSBP,SBERP,SELG,SIBN,SNGSP,STSB,STSBP,SVAV,TGKB,TGKBP,UNAC,USBN"
shares,full_2015,2016-01-06,252,21,0.025,tail_group_2,3.445196795033833,26,0.025492856810832475,0.16347780697636807,0.03259877958090009,0.18727678809987858,0.06895550902765435,0.0017579102984617851,"AKRN,BANEP,DIOD,FEES,GAZP,IRKT,KZOSP,LNZLP,LSNG,LSRG,MGTSP,MOEX,MRKK,MRKY,MSNG,OGKB,PHOR,RASP,ROST,RTKM,SARE,SBER,TATNP,TGKA,UTAR,YKEN"
shares,full_2015,2016-01-06,252,21,0.025,tail_group_3,5.251541508625417,27,0.020865012977310835,0.13691396113824136,0.029126496522324966,0.18662385405197934,0.054664494460748614,0.04022298514372951,"ALRS,BANE,CHMF,DVEC,GCHE,HYDR,KROT,KZOS,LKOH,LSNGP,MAGN,MRKP,MRKS,MRKU,MRKV,MVID,NLMK,NMTP,NVTK,PIKK,ROSN,RTKMP,SNGS,TATN,TRMK,TTLK,VSMO"
shares,full_2015,2016-02-08,252,21,0.025,tail_group_1,2.3300951566047003,27,0.02654564512557846,0.16455866677137151,0.009010074710297208,0.11385425194539259,0.00920835195040226,0.05914289940420651,"AFKS,AKRN,APTK,BSPB,IRKT,KMAZ,KMEZ,LNZL,LSRG,MGNT,MGTSP,MRKC,MRKZ,MTLR,NKNC,NKNCP,PMSBP,SBERP,SELG,SIBN,SNGSP,STSB,STSBP,SVAV,TGKA,UNAC,USBN"
shares,full_2015,2016-02-08,252,21,0.025,tail_group_2,3.3094508177214967,26,0.028234728988800212,0.17169326433376841,0.01694536277514987,0.120022946202841,0.016802597655053098,0.0362265662429772,"CHMK,DIOD,FEES,FESH,GAZP,HYDR,KROT,KZOSP,LNZLP,MRKS,MRKU,MRKY,MTSS,MVID,NMTP,OGKB,PHOR,RASP,ROSN,ROST,RTKM,SBER,TATNP,TGKB,TGKBP,UTAR"
shares,full_2015,2016-02-08,252,21,0.025,tail_group_3,4.782848617654171,27,0.025151451737506873,0.15035403793190852,0.012180967674237618,0.09950683597728993,0.017703168789512613,0.03553534007946575,"ALRS,BANE,BANEP,CHMF,DVEC,GCHE,KZOS,LKOH,LSNG,LSNGP,MAGN,MOEX,MRKK,MRKP,MRKV,MSNG,NLMK,NVTK,PIKK,RTKMP,SARE,SNGS,TATN,TRMK,TTLK,VSMO,YKEN"
shares,full_2015,2016-03-09,252,21,0.025,tail_group_1,2.3637459480423266,27,0.02676135769313336,0.16061836341987507,0.014808683744223698,0.09837730663755082,0.02321308183534221,0.011722260288864254,"AFKS,AKRN,APTK,BSPB,CHMK,DIOD,GAZP,IRKT,KMAZ,KMEZ,LNZL,LSRG,MRKC,MRKZ,MTLR,MVID,NKNC,NKNCP,PMSBP,SELG,SNGSP,STSB,STSBP,SVAV,TGKA,UNAC,USBN"
shares,full_2015,2016-03-09,252,21,0.025,tail_group_2,3.273534562490774,26,0.029101371633241026,0.16341330596499312,0.017870011702892416,0.16001479100491695,0.01771128990349158,0.08208866014191388,"FEES,FESH,HYDR,KROT,KZOSP,LKOH,LNZLP,MGNT,MGTSP,MOEX,MRKY,MSNG,MTSS,NMTP,OGKB,PHOR,RASP,ROST,RTKM,SBER,SBERP,TATN,TGKB,TGKBP,UTAR,YKEN"
shares,full_2015,2016-03-09,252,21,0.025,tail_group_3,4.792868753101586,27,0.02293253812265429,0.13790382725068,0.007292180045466414,0.0928695850348143,0.010698037324893162,0.05955734723498863,"ALRS,BANE,BANEP,CHMF,DVEC,GCHE,KZOS,LSNG,LSNGP,MAGN,MRKK,MRKP,MRKS,MRKU,MRKV,NLMK,NVTK,PIKK,ROSN,RTKMP,SARE,SIBN,SNGS,TATNP,TRMK,TTLK,VSMO"
shares,full_2015,2016-04-07,252,21,0.025,tail_group_1,2.272632287942965,27,0.02453797158253575,0.15196530990557014,0.01882041778738691,0.17152231284257258,0.04687082914655738,0.0036287859616624587,"AFKS,APTK,DIOD,IRKT,KMAZ,KMEZ,LNZL,LNZLP,LSRG,MGNT,MRKU,MTSS,MVID,NKNC,NKNCP,PIKK,PMSBP,SARE,SELG,SNGSP,STSB,STSBP,SVAV,UNAC,USBN,UTAR,YKEN"
