market,period,window,horizon,tail_prob,x,y,n,pearson,spearman,spearman_p
bonds,baseline_2018,252,21,0.025,dq_es,dr_es_concentration,88,0.8803639803728963,0.8553497330804557,2.726016173992098e-26
bonds,baseline_2018,252,21,0.025,dq_es,current_es,88,0.48216775469115014,0.1751835848818357,0.1025696536992129
bonds,baseline_2018,252,21,0.025,dq_es,current_rv_ann,88,0.4154135613861226,0.12898617465101206,0.23103093590389007
bonds,baseline_2018,252,21,0.025,dq_es,current_hill_alpha,88,-0.47439263543832805,-0.5804512395831032,3.0737071653510888e-09
bonds,baseline_2018,252,21,0.025,dq_es,n_assets,88,0.18787080264773656,0.16840641914019094,0.11678118477244105
bonds,baseline_2018,252,21,0.025,dq_es,future_es,88,0.02481146835491083,-0.12371726223329142,0.25080561290182707
bonds,baseline_2018,252,21,0.025,dq_es,future_var,88,-0.027232349143818505,-0.11276183388413542,0.2955538276974121
bonds,baseline_2018,252,21,0.025,dq_es,future_rv_ann,88,-0.019270955879824716,-0.1367784785133071,0.203824197196231
bonds,baseline_2018,252,21,0.025,dq_es,future_mdd,88,0.0022233763282452444,-0.0224706231103127,0.8353809370873464
bonds,baseline_2018,252,21,0.025,dq_es,future_tail_event,88,0.1321663297725423,0.12111224427147785,0.26099933315341484
bonds,baseline_2018,252,21,0.025,dr_es_concentration,current_es,88,0.5392517703770789,0.3313276738243264,0.0016145755782839305
bonds,baseline_2018,252,21,0.025,dr_es_concentration,current_rv_ann,88,0.44672574136446824,0.2559261737874679,0.016097355376574002
bonds,baseline_2018,252,21,0.025,dr_es_concentration,current_hill_alpha,88,-0.5099186378175886,-0.6077041355349685,3.4192247865598813e-10
bonds,baseline_2018,252,21,0.025,dr_es_concentration,n_assets,88,0.2105095174941551,0.24053838254090404,0.02398056254072489
bonds,baseline_2018,252,21,0.025,dr_es_concentration,future_es,88,0.021061801631051553,-0.06783839949279702,0.5300003125158967
bonds,baseline_2018,252,21,0.025,dr_es_concentration,future_var,88,-0.012171920536939156,-0.05035046317494982,0.6413075518246634
bonds,baseline_2018,252,21,0.025,dr_es_concentration,future_rv_ann,88,0.0031210068781620057,-0.13143249621358882,0.22222983977649488
bonds,baseline_2018,252,21,0.025,dr_es_concentration,future_mdd,88,0.06549969077588333,0.04328836603148886,0.6888159522154972
bonds,baseline_2018,252,21,0.025,dr_es_concentration,future_tail_event,88,0.06336206417007216,0.059021831247243056,0.584905214231416
bonds,baseline_2018,252,21,0.025,current_es,current_rv_ann,88,0.9722154976958567,0.9514405093908266,8.90425250670562e-46
bonds,baseline_2018,252,21,0.025,current_es,current_hill_alpha,88,-0.2958509391041548,-0.12596281051193792,0.2422404375611446
