market,period,window,horizon,tail_prob,variable,aux_r2,vif
bonds,baseline_2018,252,21,0.025,dq_es,0.7845615631604222,4.641697250823592
bonds,baseline_2018,252,21,0.025,dr_es_concentration,0.817221509841897,5.4711032963178665
bonds,baseline_2018,252,21,0.025,current_es,0.9690130727590766,32.271673542361825
bonds,baseline_2018,252,21,0.025,current_rv_ann,0.9654531893114003,28.946232085325228
bonds,baseline_2018,252,21,0.025,current_hill_alpha,0.4417292449685698,1.7912455398880796
bonds,baseline_2018,252,21,0.025,n_assets,0.06722019948842362,1.0720643815952673
bonds,baseline_2018,252,21,0.05,dq_es,0.9155712315935969,11.84430400768655
bonds,baseline_2018,252,21,0.05,dr_es_concentration,0.9195575107420318,12.431241365407473
bonds,baseline_2018,252,21,0.05,current_es,0.9727626869101363,36.71434097411573
bonds,baseline_2018,252,21,0.05,current_rv_ann,0.9615865558483355,26.032552458763824
bonds,baseline_2018,252,21,0.05,current_hill_alpha,0.5384719595216881,2.166715588859204
bonds,baseline_2018,252,21,0.05,n_assets,0.07390273612509579,1.079800188390448
bonds,baseline_2018,252,63,0.025,dq_es,0.7952433498259521,4.883846259205632
bonds,baseline_2018,252,63,0.025,dr_es_concentration,0.7993165161956963,4.9829710997799355
bonds,baseline_2018,252,63,0.025,current_es,0.9703707840337552,33.75047119502771
bonds,baseline_2018,252,63,0.025,current_rv_ann,0.9685261032672242,31.772360711809668
bonds,baseline_2018,252,63,0.025,current_hill_alpha,0.5094330605038753,2.0384577913610085
bonds,baseline_2018,252,63,0.025,n_assets,0.04195044255185387,1.043787340879936
bonds,baseline_2018,252,63,0.05,dq_es,0.9221155474951068,12.839533024093273
bonds,baseline_2018,252,63,0.05,dr_es_concentration,0.9205152301237807,12.58102654832225
bonds,baseline_2018,252,63,0.05,current_es,0.973095926264808,37.16909230336912
bonds,baseline_2018,252,63,0.05,current_rv_ann,0.9624649342395619,26.64175431001906
bonds,baseline_2018,252,63,0.05,current_hill_alpha,0.5489603964337275,2.217100210476456
bonds,baseline_2018,252,63,0.05,n_assets,0.042092775224959134,1.043942434231921
bonds,baseline_2018,504,21,0.025,dq_es,0.955601697316867,22.52338354321596
bonds,baseline_2018,504,21,0.025,dr_es_concentration,0.9573808242709954,23.463616620803066
bonds,baseline_2018,504,21,0.025,current_es,0.9814002442846401,53.764146976091155
bonds,baseline_2018,504,21,0.025,current_rv_ann,0.9809503102517125,52.49429325167346
bonds,baseline_2018,504,21,0.025,current_hill_alpha,0.7313813687090318,3.722749964118454
