market,period,window,horizon,tail_prob,dependent,n_placebo,placebo_abs_t_dq_q95,placebo_abs_t_dr_q95
bonds,baseline_2018,252,21,0.025,future_es,200,2.033179693496254,1.927450830315322
bonds,baseline_2018,252,21,0.025,future_mdd,200,1.9257647273761263,1.9578795397821955
bonds,baseline_2018,252,21,0.05,future_es,200,2.2766478046736633,1.9584418000357
bonds,baseline_2018,252,21,0.05,future_mdd,200,1.8537450319916697,1.852041570436815
bonds,baseline_2018,252,63,0.025,future_es,200,1.990047889670959,1.9236067897290856
bonds,baseline_2018,252,63,0.025,future_mdd,200,2.0072432738914086,1.9655607241991202
bonds,baseline_2018,252,63,0.05,future_es,200,1.949292030544329,2.0596453543599607
bonds,baseline_2018,252,63,0.05,future_mdd,200,1.994334867406869,1.941840926000974
bonds,baseline_2018,504,21,0.025,future_es,200,1.8194879593587443,1.8892400993697724
bonds,baseline_2018,504,21,0.025,future_mdd,200,2.0451174663159635,1.846100466781136
bonds,baseline_2018,504,21,0.05,future_es,200,1.8676814692449817,1.8468922942370176
bonds,baseline_2018,504,21,0.05,future_mdd,200,2.113927068897568,1.7081582840914944
bonds,baseline_2018,504,63,0.025,future_es,200,2.0480230895053215,1.9332837631521544
bonds,baseline_2018,504,63,0.025,future_mdd,200,1.766507803621019,1.8600360603591748
bonds,baseline_2018,504,63,0.05,future_es,200,2.138448003534397,1.8459378467103331
bonds,baseline_2018,504,63,0.05,future_mdd,200,1.8235342083102708,1.983438902328692
bonds,full_2015,252,21,0.025,future_es,200,1.9703489626252093,1.881026295803483
bonds,full_2015,252,21,0.025,future_mdd,200,2.1232947454005733,2.0355734783218242
bonds,full_2015,252,21,0.05,future_es,200,2.1467334799426006,1.921707536069002
bonds,full_2015,252,21,0.05,future_mdd,200,1.9954918437306297,1.9887180937018607
bonds,full_2015,252,63,0.025,future_es,200,2.037253600228596,2.2200109188614356
bonds,full_2015,252,63,0.025,future_mdd,200,1.6486530649831155,1.8312898946131189
bonds,full_2015,252,63,0.05,future_es,200,2.043503692409435,2.020945031160722
bonds,full_2015,252,63,0.05,future_mdd,200,1.7801888672884432,2.0234112782033113
bonds,full_2015,504,21,0.025,future_es,200,1.9481920517126767,1.9602577624789712
bonds,full_2015,504,21,0.025,future_mdd,200,1.8657355351148617,2.0976250493716533
bonds,full_2015,504,21,0.05,future_es,200,1.9328060129719289,1.9389741233576359
bonds,full_2015,504,21,0.05,future_mdd,200,1.8539991123869626,1.965043357902675
bonds,full_2015,504,63,0.025,future_es,200,1.9790405523000032,2.066545807184772
bonds,full_2015,504,63,0.025,future_mdd,200,1.940711556042555,2.1101677367133234
bonds,full_2015,504,63,0.05,future_es,200,1.9513565324287294,1.9650990925724368
bonds,full_2015,504,63,0.05,future_mdd,200,1.9773941172844476,2.018937546666636
shares,baseline_2018,252,21,0.025,future_es,200,1.7751407230964829,1.797133091035751
shares,baseline_2018,252,21,0.025,future_mdd,200,2.1885070229483787,2.146457479652883
shares,baseline_2018,252,21,0.05,future_es,200,1.8654707206892631,1.8626617298489814
shares,baseline_2018,252,21,0.05,future_mdd,200,2.1061959987158834,2.1745177802428315
shares,baseline_2018,252,63,0.025,future_es,200,1.740262542567473,1.7329417759382253
shares,baseline_2018,252,63,0.025,future_mdd,200,2.0754754621555414,2.092520583872362
shares,baseline_2018,252,63,0.05,future_es,200,1.8896045838268907,1.881944605005374
shares,baseline_2018,252,63,0.05,future_mdd,200,2.0492275990185043,2.0464305438160926
shares,baseline_2018,504,21,0.025,future_es,200,1.8382590806267667,1.8920169186516254
shares,baseline_2018,504,21,0.025,future_mdd,200,2.0796090156397593,1.959949417221767
shares,baseline_2018,504,21,0.05,future_es,200,1.9920982295808916,1.995975389977709
shares,baseline_2018,504,21,0.05,future_mdd,200,2.0706848508030373,2.0179000260013775
shares,baseline_2018,504,63,0.025,future_es,200,1.7000101922154645,1.656625848529173
shares,baseline_2018,504,63,0.025,future_mdd,200,2.185420702480827,2.529228193566559
shares,baseline_2018,504,63,0.05,future_es,200,1.7973680434430606,1.8030672767187
shares,baseline_2018,504,63,0.05,future_mdd,200,2.179827363849483,2.525811094642373
shares,full_2015,252,21,0.025,future_es,200,1.8572177202976103,1.8226452364774643
shares,full_2015,252,21,0.025,future_mdd,200,2.278730922857079,2.0966758358718627
shares,full_2015,252,21,0.05,future_es,200,1.7614193050515912,1.797501763677631
shares,full_2015,252,21,0.05,future_mdd,200,2.2751939786037383,2.0970564047726334
shares,full_2015,252,63,0.025,future_es,200,1.9567906603133909,1.880749416433259
shares,full_2015,252,63,0.025,future_mdd,200,2.017332245295681,2.0975911772840257
shares,full_2015,252,63,0.05,future_es,200,1.9430225738436602,2.017272648143363
shares,full_2015,252,63,0.05,future_mdd,200,2.1209170527787804,1.9770152323372359
shares,full_2015,504,21,0.025,future_es,200,1.8574462601144046,1.7335691295686595
shares,full_2015,504,21,0.025,future_mdd,200,2.1306245387962632,2.055108376508673
shares,full_2015,504,21,0.05,future_es,200,1.928041192229041,1.6723793510116143
shares,full_2015,504,21,0.05,future_mdd,200,1.974412425650193,1.9259018813331654
shares,full_2015,504,63,0.025,future_es,200,1.5913258548558367,1.6569468767988793
shares,full_2015,504,63,0.025,future_mdd,200,2.2899171968748244,1.9372460346546194
shares,full_2015,504,63,0.05,future_es,200,1.8756400085950724,1.8332930774646352
shares,full_2015,504,63,0.05,future_mdd,200,2.3161465160443147,1.9263555581833343
