secid,market,chosen_boardid,n_boards,all_boards,chosen_board_nobs,max_board_nobs
BYM000001818,bonds,TQCB,1,TQCB,335,335
BYM000001925,bonds,TQCB,1,TQCB,300,300
BYM000001941,bonds,TQCB,1,TQCB,300,300
BYM000002154,bonds,TQCB,1,TQCB,192,192
BYM000002410,bonds,TQCB,1,TQCB,139,139
BYM000002469,bonds,TQCB,1,TQCB,139,139
RU000A0JQAM6,bonds,TQCB,1,TQCB,1517,1517
RU000A0JR4U9,bonds,TQCB,1,TQCB,1517,1517
RU000A0NR5U0,bonds,TQCB,1,TQCB,148,148
RU000A0JRJB8,bonds,TQCB,1,TQCB,1517,1517
RU000A0JRJL7,bonds,TQCB,1,TQCB,1517,1517
RU000A0JRU20,bonds,TQCB,1,TQCB,1517,1517
RU000A0JRU46,bonds,TQCB,1,TQCB,1517,1517
RU000A0JS4J1,bonds,TQCB,1,TQCB,1517,1517
RU000A0NTYA7,bonds,TQCB,1,TQCB,667,667
RU000A0JS4K9,bonds,TQCB,1,TQCB,1517,1517
RU000A0JS4L7,bonds,TQCB,1,TQCB,1517,1517
RU000A0JS4Z7,bonds,TQCB,1,TQCB,1668,1668
RU000A0JS9X1,bonds,TQCB,1,TQCB,716,716
RU000A0JSGV0,bonds,TQCB,1,TQCB,1517,1517
RU000A0JSQ58,bonds,TQCB,1,TQCB,1639,1639
RU000A0JT403,bonds,TQCB,1,TQCB,1668,1668
RU000A0JT6B2,bonds,TQCB,1,TQCB,1668,1668
RU000A0JTB96,bonds,TQCB,1,TQCB,1517,1517
RU000A0JTFB2,bonds,TQCB,1,TQCB,1517,1517
RU000A0JTU85,bonds,TQCB,1,TQCB,1668,1668
RU000A0JTW83,bonds,TQCB,1,TQCB,1454,1454
RU000A0JTZF1,bonds,TQCB,1,TQCB,1452,1452
RU000A0JU9K4,bonds,TQCB,1,TQCB,382,382
RU000A0JUAH8,bonds,TQCB,1,TQCB,1668,1668
RU000A0JUKX4,bonds,TQCB,1,TQCB,1517,1517
RU000A0JUT85,bonds,TQCB,1,TQCB,1517,1517
RU000A0JV0T3,bonds,TQCB,1,TQCB,382,382
RU000A0JV4R9,bonds,TQCB,1,TQCB,1391,1391
RU000A0JV755,bonds,TQCB,1,TQCB,1517,1517
RU000A0JVLA8,bonds,TQCB,1,TQCB,1517,1517
RU000A0JVM32,bonds,TQCB,1,TQCB,1517,1517
RU000A0JVRL2,bonds,TQCB,1,TQCB,1517,1517
RU000A0JVVL4,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWB59,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWGS8,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWHA4,bonds,TQCB,1,TQCB,1667,1667
RU000A0JWHU2,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWHW8,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWK74,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWM15,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWMZ1,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWN22,bonds,TQCB,1,TQCB,500,500
RU000A0JWN89,bonds,TQCB,1,TQCB,100,100
RU000A0JWST1,bonds,TQCB,1,TQCB,1639,1639
RU000A0JWT91,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWTL6,bonds,TQCB,1,TQCB,1639,1639
RU000A0JWTN2,bonds,TQCB,1,TQCB,1639,1639
RU000A0JWTV5,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWUB5,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWV63,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWV89,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWVL2,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWVT5,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWWM8,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWX04,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWYJ0,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWYQ5,bonds,TQCB,1,TQCB,1517,1517
RU000A0JWZY6,bonds,TQCB,1,TQCB,1517,1517
RU000A0JX132,bonds,TQCB,1,TQCB,1517,1517
RU000A0JX199,bonds,TQCB,1,TQCB,1517,1517
RU000A0JX1S1,bonds,TQCB,1,TQCB,1668,1668
RU000A0JX2D1,bonds,TQCB,1,TQCB,1668,1668
RU000A0JX2F6,bonds,TQCB,1,TQCB,1668,1668
RU000A0JX2M2,bonds,TQCB,1,TQCB,1517,1517
RU000A0JX2R1,bonds,TQCB,1,TQCB,1639,1639
RU000A0JX355,bonds,TQCB,1,TQCB,1639,1639
RU000A0JX5W4,bonds,TQCB,1,TQCB,1639,1639
RU000A0JXE06,bonds,TQCB,1,TQCB,1639,1639
RU000A0JXJK7,bonds,TQCB,1,TQCB,1517,1517
RU000A0JXK99,bonds,TQCB,1,TQCB,1517,1517
RU000A0JXLU2,bonds,TQCB,1,TQCB,1299,1299
RU000A0JXMP0,bonds,TQCB,1,TQCB,1517,1517
RU000A0JXN05,bonds,TQCB,1,TQCB,1668,1668
RU000A0JXN21,bonds,TQCB,1,TQCB,1517,1517
RU000A0JXPG2,bonds,TQCB,1,TQCB,1639,1639
RU000A0JXPN8,bonds,TQCB,1,TQCB,1639,1639
RU000A0JXQ44,bonds,TQCB,1,TQCB,1668,1668
RU000A0JXQK2,bonds,TQCB,1,TQCB,1639,1639
RU000A0JXQQ9,bonds,TQCB,1,TQCB,871,871
RU000A0JXR84,bonds,TQCB,1,TQCB,1639,1639
RU000A0JXRD5,bonds,TQCB,1,TQCB,1639,1639
RU000A0JXS59,bonds,TQCB,1,TQCB,1517,1517
RU000A0JXS83,bonds,TQCB,1,TQCB,1517,1517
RU000A0JXSS1,bonds,TQCB,1,TQCB,1517,1517
RU000A0JXT58,bonds,TQCB,1,TQCB,1257,1257
RU000A0JXTS9,bonds,TQCB,1,TQCB,1668,1668
RU000A0JXTY7,bonds,TQCB,1,TQCB,1517,1517
RU000A0JXU14,bonds,TQCB,1,TQCB,1668,1668
RU000A0JXXD3,bonds,TQCB,1,TQCB,1514,1514
RU000A0JXXE1,bonds,TQCB,1,TQCB,1514,1514
RU000A0JXZB2,bonds,TQCB,1,TQCB,1668,1668
RU000A0NR5W6,bonds,TQCB,1,TQCB,153,153
RU000A0NX2N4,bonds,TQCB,1,TQCB,651,651
RU000A0ZYAP9,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYBM4,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZYCP5,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYEB1,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYF20,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYF38,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYFM5,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYFN3,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYFS2,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYG52,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZYH93,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYHW0,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYJ91,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZYJH7,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYJJ3,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYJR6,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZYKH5,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYKJ1,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYLG5,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYLK7,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYLU6,bonds,TQCB,1,TQCB,1575,1575
RU000A0ZYMM1,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYMN9,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYNY4,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZYQU5,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZYQY7,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYR91,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZYT40,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZYU05,bonds,TQCB,1,TQCB,1668,1668
RU000A0ZYU21,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZYU54,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYVU5,bonds,TQCB,1,TQCB,1638,1638
RU000A0ZYWB3,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZYWU3,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYWZ2,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZYX28,bonds,TQCB,1,TQCB,686,686
RU000A0ZYYE3,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZYYN4,bonds,TQCB,1,TQCB,1668,1668
RU000A0ZZ1J8,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZZ1M2,bonds,TQCB,1,TQCB,1459,1459
RU000A0ZZ1N0,bonds,TQCB,1,TQCB,1514,1514
RU000A0ZZ4P9,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZZ4T1,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZ505,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZ5H3,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZZ5J9,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZZ7C0,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZZ877,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZ885,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZ893,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZ984,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZZ9P8,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZ9R4,bonds,TQCB,1,TQCB,1668,1668
RU000A0ZZAL5,bonds,TQOD,1,TQOD,1998,1998
RU000A0ZZBV2,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZCH9,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZDB0,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZZE87,bonds,TQCB,1,TQCB,1498,1498
RU000A0ZZGT5,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZNL8,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZNW5,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZQH9,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZRY2,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZS73,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZTL5,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZV11,bonds,TQCB,1,TQCB,1639,1639
RU000A0ZZV86,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZY59,bonds,TQCB,1,TQCB,1498,1498
RU000A0ZZZ09,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZZ17,bonds,TQCB,1,TQCB,1517,1517
RU000A0ZZZZ2,bonds,TQCB,1,TQCB,1517,1517
RU000A100030,bonds,TQCB,1,TQCB,1517,1517
RU000A1001T8,bonds,TQCB,1,TQCB,1517,1517
RU000A1003A4,bonds,TQCB,1,TQCB,1639,1639
RU000A1004W6,bonds,TQCB,1,TQCB,1639,1639
RU000A1005L6,bonds,TQCB,1,TQCB,1517,1517
RU000A1006C3,bonds,TQCB,1,TQCB,1397,1397
RU000A1006S9,bonds,TQCB,1,TQCB,1668,1668
RU000A100725,bonds,TQCB,1,TQCB,1517,1517
RU000A1007H0,bonds,TQCB,1,TQCB,1517,1517
RU000A1007U3,bonds,TQCB,1,TQCB,1517,1517
RU000A1007Z2,bonds,TQCB,1,TQCB,1517,1517
RU000A100881,bonds,TQCB,1,TQCB,1639,1639
RU000A1008D7,bonds,TQCB,1,TQCB,1639,1639
RU000A1008J4,bonds,TQCB,1,TQCB,1517,1517
RU000A1008P1,bonds,TQCB,1,TQCB,1639,1639
RU000A1008V9,bonds,TQCB,1,TQCB,1639,1639
RU000A1008Y3,bonds,TQCB,1,TQCB,1639,1639
RU000A1009L8,bonds,TQCB,1,TQCB,1517,1517
RU000A1009Z8,bonds,TQCB,1,TQCB,1517,1517
RU000A100DG5,bonds,TQCB,1,TQCB,1517,1517
RU000A100DQ4,bonds,TQCB,1,TQCB,1517,1517
RU000A100DZ5,bonds,TQCB,1,TQCB,1639,1639
RU000A100ET6,bonds,TQCB,1,TQCB,1639,1639
RU000A100EV2,bonds,TQCB,1,TQCB,1517,1517
RU000A100FE5,bonds,TQCB,1,TQCB,1639,1639
RU000A100GW5,bonds,TQCB,1,TQCB,1498,1498
RU000A100HY9,bonds,TQCB,1,TQCB,1517,1517
RU000A100KY3,bonds,TQCB,1,TQCB,1639,1639
RU000A100ME1,bonds,TQCB,1,TQCB,1517,1517
RU000A100N12,bonds,TQCB,1,TQCB,1639,1639
RU000A100PB0,bonds,TQCB,1,TQCB,1517,1517
RU000A100Q35,bonds,TQCB,1,TQCB,1517,1517
RU000A100Q50,bonds,TQCB,1,TQCB,1517,1517
RU000A100QA0,bonds,TQCB,1,TQCB,1461,1461
RU000A100SZ3,bonds,TQCB,1,TQCB,1639,1639
RU000A100T81,bonds,TQCB,1,TQCB,384,384
RU000A100TB2,bonds,TQCB,1,TQCB,1517,1517
RU000A100UT2,bonds,TQCB,1,TQCB,1517,1517
RU000A100VG7,bonds,TQCB,1,TQCB,1639,1639
RU000A100VX2,bonds,TQCB,1,TQCB,1517,1517
RU000A100W60,bonds,TQCB,1,TQCB,1517,1517
RU000A100WF7,bonds,TQCB,1,TQCB,1517,1517
RU000A100YQ0,bonds,TQCB,1,TQCB,1517,1517
RU000A100YY4,bonds,TQCB,1,TQCB,1517,1517
RU000A101012,bonds,TQCB,1,TQCB,1517,1517
RU000A1010B7,bonds,TQCB,1,TQCB,1517,1517
RU000A1010D3,bonds,TQCB,1,TQCB,1517,1517
RU000A1011B5,bonds,TQCB,1,TQCB,1517,1517
RU000A1013N6,bonds,TQCB,1,TQCB,1397,1397
RU000A1013P1,bonds,TQCB,1,TQCB,1517,1517
RU000A1013U1,bonds,TQCB,1,TQCB,1517,1517
RU000A1014J2,bonds,TQCB,1,TQCB,1498,1498
RU000A1014U9,bonds,TQCB,1,TQCB,382,382
RU000A101590,bonds,TQCB,1,TQCB,1517,1517
RU000A1015T8,bonds,TQCB,1,TQCB,290,290
RU000A101616,bonds,TQCB,1,TQCB,1498,1498
RU000A1028U9,bonds,TQCB,1,TQCB,1100,1100
RU000A1016N9,bonds,TQCB,1,TQCB,1517,1517
RU000A101780,bonds,TQCB,1,TQCB,1517,1517
RU000A1017J5,bonds,TQCB,1,TQCB,1517,1517
RU000A1018M7,bonds,TQCB,1,TQCB,1517,1517
RU000A1019A0,bonds,TQCB,1,TQCB,358,358
RU000A101CL5,bonds,TQCB,1,TQCB,1517,1517
RU000A101CQ4,bonds,TQCB,1,TQCB,1517,1517
RU000A101DA6,bonds,TQCB,1,TQCB,1498,1498
RU000A101DB4,bonds,TQCB,1,TQCB,1498,1498
RU000A101EQ0,bonds,TQCB,1,TQCB,1126,1126
RU000A101FG8,bonds,TQCB,1,TQCB,1517,1517
RU000A101FH6,bonds,TQCB,1,TQCB,1517,1517
RU000A101GD3,bonds,TQCB,1,TQCB,1517,1517
RU000A101H84,bonds,TQCB,1,TQCB,1517,1517
RU000A101JD7,bonds,TQCB,1,TQCB,1517,1517
RU000A101M04,bonds,TQCB,1,TQCB,1498,1498
RU000A101MB5,bonds,TQCB,1,TQCB,1498,1498
RU000A101NG2,bonds,TQCB,1,TQCB,1498,1498
RU000A101P27,bonds,TQCB,1,TQCB,1498,1498
RU000A101Q26,bonds,TQCB,1,TQCB,1498,1498
RU000A101QL5,bonds,TQCB,1,TQCB,1498,1498
RU000A101QN1,bonds,TQCB,1,TQCB,1498,1498
RU000A101RJ7,bonds,TQCB,1,TQCB,1498,1498
RU000A101RT6,bonds,TQCB,1,TQCB,1241,1241
RU000A101RV2,bonds,TQCB,1,TQCB,1433,1433
RU000A101RW0,bonds,TQCB,1,TQCB,1240,1240
RU000A101RZ3,bonds,TQCB,1,TQCB,1433,1433
RU000A101S08,bonds,TQCB,1,TQCB,1240,1240
RU000A101S16,bonds,TQCB,1,TQCB,1241,1241
RU000A101SC0,bonds,TQCB,1,TQCB,1498,1498
RU000A101SD8,bonds,TQCB,1,TQCB,1498,1498
RU000A101SF3,bonds,TQCB,1,TQCB,1498,1498
RU000A101T56,bonds,TQCB,1,TQCB,1498,1498
RU000A101T64,bonds,TQCB,1,TQCB,1498,1498
RU000A101T72,bonds,TQCB,1,TQCB,281,281
RU000A101TB0,bonds,TQCB,1,TQCB,1498,1498
RU000A101TD6,bonds,TQCB,1,TQCB,1494,1494
RU000A101TT2,bonds,TQCB,1,TQCB,1495,1495
RU000A101U61,bonds,TQCB,1,TQCB,1495,1495
RU000A101UE2,bonds,TQCB,1,TQCB,1494,1494
RU000A101UW4,bonds,TQCB,1,TQCB,1492,1492
RU000A101WD0,bonds,TQCB,1,TQCB,1483,1483
RU000A101WR0,bonds,TQCB,1,TQCB,1483,1483
RU000A101XD8,bonds,TQCB,1,TQCB,1479,1479
RU000A101XN7,bonds,TQCB,1,TQCB,1478,1478
RU000A101XS6,bonds,TQCB,1,TQCB,1478,1478
RU000A101Y18,bonds,TQCB,1,TQCB,1469,1469
RU000A101Z17,bonds,TQCB,1,TQCB,1472,1472
RU000A101Z74,bonds,TQCB,1,TQCB,1471,1471
RU000A101ZH4,bonds,TQCB,1,TQCB,1469,1469
RU000A101ZU7,bonds,TQCB,1,TQCB,1465,1465
RU000A1020L5,bonds,TQCB,1,TQCB,1464,1464
RU000A102192,bonds,TQCB,1,TQCB,1369,1369
RU000A1021A6,bonds,TQCB,1,TQCB,1369,1369
RU000A1021G3,bonds,TQCB,1,TQCB,1459,1459
RU000A1022E6,bonds,TQCB,1,TQCB,1452,1452
RU000A1023K1,bonds,TQCB,1,TQCB,1445,1445
RU000A1024L7,bonds,TQCB,1,TQCB,1436,1436
RU000A102556,bonds,TQCB,1,TQCB,1434,1434
RU000A102564,bonds,TQCB,1,TQCB,1427,1427
RU000A1026H0,bonds,TQCB,1,TQCB,1426,1426
RU000A102879,bonds,TQCB,1,TQCB,1416,1416
RU000A102887,bonds,TQCB,1,TQCB,1416,1416
RU000A102952,bonds,TQCB,1,TQCB,100,100
RU000A102986,bonds,TQCB,1,TQCB,300,300
RU000A102BK7,bonds,TQCB,1,TQCB,1402,1402
RU000A102CK5,bonds,TQCB,1,TQCB,1063,1063
RU000A102CL3,bonds,TQCB,1,TQCB,1063,1063
RU000A102CR0,bonds,TQCB,1,TQCB,1395,1395
RU000A102CT6,bonds,TQCB,1,TQCB,1394,1394
RU000A102D46,bonds,TQCB,1,TQCB,1393,1393
RU000A102DB2,bonds,TQCB,1,TQCB,1392,1392
RU000A102DS6,bonds,TQCB,1,TQCB,1390,1390
RU000A102E37,bonds,TQCB,1,TQCB,1370,1370
RU000A102E52,bonds,TQCB,1,TQCB,1388,1388
RU000A102EE4,bonds,TQCB,1,TQCB,1385,1385
RU000A102EF1,bonds,TQCB,1,TQCB,1385,1385
RU000A102FE1,bonds,TQCB,1,TQCB,1201,1201
RU000A102FS1,bonds,TQCB,1,TQCB,1381,1381
RU000A102FT9,bonds,TQCB,1,TQCB,1381,1381
RU000A102FV5,bonds,TQCB,1,TQCB,1380,1380
RU000A102G35,bonds,TQCB,1,TQCB,1380,1380
RU000A102GD1,bonds,TQCB,1,TQCB,1378,1378
RU000A102GJ8,bonds,TQCB,1,TQCB,1377,1377
RU000A102H34,bonds,TQCB,1,TQCB,1375,1375
RU000A102HA5,bonds,TQCB,1,TQCB,351,351
RU000A102HC1,bonds,TQCB,1,TQCB,1349,1349
