market,window,window_end,tail_group,n
bonds,504,2019-12-26,point_alpha_1_2_uncertain,1
bonds,504,2019-12-26,strict_alpha_gt_2,9
bonds,504,2020-01-30,point_alpha_1_2_uncertain,1
bonds,504,2020-01-30,strict_alpha_gt_2,9
bonds,504,2020-02-26,strict_alpha_gt_2,1
bonds,504,2020-03-02,point_alpha_1_2_uncertain,1
bonds,504,2020-03-02,strict_alpha_gt_2,10
bonds,504,2020-03-04,strict_alpha_gt_2,1
bonds,504,2020-03-27,point_alpha_1_2_uncertain,1
bonds,504,2020-04-01,point_alpha_1_2_uncertain,4
bonds,504,2020-04-01,point_alpha_gt_2_uncertain,6
bonds,504,2020-04-01,strict_alpha_gt_2,2
bonds,504,2020-04-03,point_alpha_gt_2_uncertain,1
bonds,504,2020-04-27,point_alpha_1_2_uncertain,1
bonds,504,2020-04-30,point_alpha_1_2_uncertain,2
bonds,504,2020-04-30,point_alpha_gt_2_uncertain,7
bonds,504,2020-04-30,strict_alpha_gt_2,3
bonds,504,2020-05-05,point_alpha_gt_2_uncertain,1
bonds,504,2020-05-28,point_alpha_1_2_uncertain,1
bonds,504,2020-06-02,point_alpha_1_2_uncertain,3
bonds,504,2020-06-02,point_alpha_gt_2_uncertain,7
bonds,504,2020-06-02,strict_alpha_gt_2,2
bonds,504,2020-06-04,point_alpha_gt_2_uncertain,1
bonds,504,2020-06-30,point_alpha_gt_2_uncertain,1
bonds,504,2020-07-06,point_alpha_1_2_uncertain,3
bonds,504,2020-07-06,point_alpha_gt_2_uncertain,7
bonds,504,2020-07-06,strict_alpha_gt_2,2
bonds,504,2020-07-08,point_alpha_gt_2_uncertain,1
bonds,504,2020-07-30,point_alpha_1_2_uncertain,1
bonds,504,2020-08-04,point_alpha_1_2_uncertain,3
bonds,504,2020-08-04,point_alpha_gt_2_uncertain,7
bonds,504,2020-08-04,strict_alpha_gt_2,2
bonds,504,2020-08-06,point_alpha_gt_2_uncertain,1
bonds,504,2020-08-28,point_alpha_gt_2_uncertain,1
bonds,504,2020-09-02,point_alpha_1_2_uncertain,4
bonds,504,2020-09-02,point_alpha_gt_2_uncertain,6
bonds,504,2020-09-02,strict_alpha_gt_2,2
bonds,504,2020-09-04,point_alpha_gt_2_uncertain,1
bonds,504,2020-09-28,point_alpha_gt_2_uncertain,1
bonds,504,2020-10-01,point_alpha_1_2_uncertain,5
bonds,504,2020-10-01,point_alpha_gt_2_uncertain,6
bonds,504,2020-10-01,strict_alpha_gt_2,2
bonds,504,2020-10-05,point_alpha_gt_2_uncertain,1
bonds,504,2020-10-27,point_alpha_gt_2_uncertain,1
bonds,504,2020-10-30,point_alpha_1_2_uncertain,8
bonds,504,2020-10-30,point_alpha_gt_2_uncertain,3
bonds,504,2020-10-30,strict_alpha_gt_2,2
bonds,504,2020-11-03,point_alpha_gt_2_uncertain,1
bonds,504,2020-11-26,point_alpha_gt_2_uncertain,1
bonds,504,2020-12-01,point_alpha_1_2_uncertain,8
bonds,504,2020-12-01,point_alpha_gt_2_uncertain,3
bonds,504,2020-12-01,strict_alpha_gt_2,2
bonds,504,2020-12-03,point_alpha_gt_2_uncertain,1
bonds,504,2020-12-25,point_alpha_gt_2_uncertain,1
bonds,504,2020-12-30,point_alpha_1_2_uncertain,8
bonds,504,2020-12-30,point_alpha_gt_2_uncertain,3
bonds,504,2020-12-30,strict_alpha_gt_2,2
bonds,504,2021-01-05,point_alpha_gt_2_uncertain,1
bonds,504,2021-01-28,point_alpha_gt_2_uncertain,1
bonds,504,2021-02-02,point_alpha_1_2_uncertain,9
bonds,504,2021-02-02,point_alpha_gt_2_uncertain,2
bonds,504,2021-02-02,strict_alpha_gt_2,2
bonds,504,2021-02-04,point_alpha_gt_2_uncertain,1
bonds,504,2021-02-26,point_alpha_gt_2_uncertain,1
bonds,504,2021-03-03,point_alpha_1_2_uncertain,8
bonds,504,2021-03-03,point_alpha_gt_2_uncertain,1
bonds,504,2021-03-03,point_alpha_lt_1_uncertain,1
bonds,504,2021-03-03,strict_alpha_gt_2,3
bonds,504,2021-03-05,point_alpha_1_2_uncertain,1
bonds,504,2021-03-30,point_alpha_gt_2_uncertain,1
bonds,504,2021-04-02,point_alpha_1_2_uncertain,6
bonds,504,2021-04-02,point_alpha_gt_2_uncertain,4
bonds,504,2021-04-02,point_alpha_lt_1_uncertain,1
bonds,504,2021-04-02,strict_alpha_gt_2,2
bonds,504,2021-04-06,point_alpha_1_2_uncertain,1
bonds,504,2021-04-28,point_alpha_gt_2_uncertain,1
bonds,504,2021-05-04,point_alpha_1_2_uncertain,6
bonds,504,2021-05-04,point_alpha_gt_2_uncertain,5
bonds,504,2021-05-04,point_alpha_lt_1_uncertain,1
bonds,504,2021-05-04,strict_alpha_gt_2,1
bonds,504,2021-05-06,point_alpha_1_2_uncertain,1
bonds,504,2021-05-28,point_alpha_1_2_uncertain,1
bonds,504,2021-06-02,point_alpha_1_2_uncertain,7
bonds,504,2021-06-02,point_alpha_gt_2_uncertain,5
bonds,504,2021-06-02,strict_alpha_gt_2,1
bonds,504,2021-06-04,point_alpha_1_2_uncertain,1
bonds,504,2021-06-28,point_alpha_1_2_uncertain,1
bonds,504,2021-07-01,point_alpha_1_2_uncertain,6
bonds,504,2021-07-01,point_alpha_gt_2_uncertain,7
bonds,504,2021-07-05,point_alpha_1_2_uncertain,1
bonds,504,2021-07-27,point_alpha_1_2_uncertain,1
bonds,504,2021-07-30,point_alpha_1_2_uncertain,7
bonds,504,2021-07-30,point_alpha_gt_2_uncertain,6
bonds,504,2021-08-03,point_alpha_1_2_uncertain,1
bonds,504,2021-08-25,point_alpha_gt_2_uncertain,1
bonds,504,2021-08-30,point_alpha_1_2_uncertain,10
bonds,504,2021-08-30,point_alpha_gt_2_uncertain,3
bonds,504,2021-09-01,point_alpha_1_2_uncertain,1
bonds,504,2021-09-23,point_alpha_gt_2_uncertain,1
bonds,504,2021-09-28,point_alpha_1_2_uncertain,10
bonds,504,2021-09-28,point_alpha_gt_2_uncertain,3
bonds,504,2021-09-30,point_alpha_1_2_uncertain,1
bonds,504,2021-10-22,point_alpha_gt_2_uncertain,1
bonds,504,2021-10-27,point_alpha_1_2_uncertain,7
bonds,504,2021-10-27,point_alpha_gt_2_uncertain,6
bonds,504,2021-10-29,point_alpha_1_2_uncertain,1
bonds,504,2021-11-23,point_alpha_gt_2_uncertain,1
bonds,504,2021-11-26,point_alpha_1_2_uncertain,6
bonds,504,2021-11-26,point_alpha_gt_2_uncertain,7
bonds,504,2021-11-30,point_alpha_gt_2_uncertain,1
bonds,504,2021-12-22,point_alpha_gt_2_uncertain,1
bonds,504,2021-12-27,point_alpha_1_2_uncertain,5
bonds,504,2021-12-27,point_alpha_gt_2_uncertain,8
bonds,504,2021-12-29,point_alpha_gt_2_uncertain,1
bonds,504,2022-01-21,point_alpha_gt_2_uncertain,1
bonds,504,2022-01-26,point_alpha_1_2_uncertain,6
bonds,504,2022-01-26,point_alpha_gt_2_uncertain,5
bonds,504,2022-01-26,strict_alpha_gt_2,2
bonds,504,2022-01-28,strict_alpha_gt_2,1
bonds,504,2022-02-21,point_alpha_gt_2_uncertain,1
bonds,504,2022-02-24,point_alpha_1_2_uncertain,12
bonds,504,2022-02-24,point_alpha_gt_2_uncertain,1
bonds,504,2022-02-28,point_alpha_1_2_uncertain,1
bonds,504,2022-03-24,point_alpha_1_2_uncertain,1
bonds,504,2022-03-29,point_alpha_1_2_uncertain,12
bonds,504,2022-03-29,point_alpha_gt_2_uncertain,1
bonds,504,2022-03-31,point_alpha_1_2_uncertain,1
bonds,504,2022-04-22,point_alpha_1_2_uncertain,1
bonds,504,2022-04-27,point_alpha_1_2_uncertain,12
bonds,504,2022-04-27,point_alpha_gt_2_uncertain,1
bonds,504,2022-04-29,point_alpha_1_2_uncertain,1
bonds,504,2022-05-27,point_alpha_1_2_uncertain,1
bonds,504,2022-06-01,point_alpha_1_2_uncertain,12
bonds,504,2022-06-01,point_alpha_gt_2_uncertain,1
bonds,504,2022-06-03,point_alpha_1_2_uncertain,1
bonds,504,2022-06-28,point_alpha_1_2_uncertain,1
bonds,504,2022-07-01,point_alpha_1_2_uncertain,12
bonds,504,2022-07-01,point_alpha_gt_2_uncertain,1
bonds,504,2022-07-05,point_alpha_1_2_uncertain,1
bonds,504,2022-07-27,point_alpha_1_2_uncertain,1
bonds,504,2022-08-01,point_alpha_1_2_uncertain,12
bonds,504,2022-08-01,point_alpha_gt_2_uncertain,1
bonds,504,2022-08-03,point_alpha_1_2_uncertain,1
bonds,504,2022-08-25,point_alpha_1_2_uncertain,1
bonds,504,2022-08-30,point_alpha_1_2_uncertain,12
bonds,504,2022-08-30,point_alpha_gt_2_uncertain,1
bonds,504,2022-09-01,point_alpha_1_2_uncertain,1
bonds,504,2022-09-23,point_alpha_1_2_uncertain,1
bonds,504,2022-09-28,point_alpha_1_2_uncertain,12
bonds,504,2022-09-28,point_alpha_gt_2_uncertain,1
bonds,504,2022-09-30,point_alpha_1_2_uncertain,1
bonds,504,2022-10-24,point_alpha_1_2_uncertain,1
bonds,504,2022-10-27,point_alpha_1_2_uncertain,12
bonds,504,2022-10-27,point_alpha_gt_2_uncertain,1
bonds,504,2022-10-31,point_alpha_1_2_uncertain,1
bonds,504,2022-11-23,point_alpha_1_2_uncertain,1
bonds,504,2022-11-28,point_alpha_1_2_uncertain,12
bonds,504,2022-11-28,point_alpha_gt_2_uncertain,1
bonds,504,2022-11-30,point_alpha_1_2_uncertain,1
bonds,504,2022-12-22,point_alpha_1_2_uncertain,1
bonds,504,2022-12-27,point_alpha_1_2_uncertain,12
bonds,504,2022-12-27,point_alpha_gt_2_uncertain,1
bonds,504,2022-12-29,point_alpha_1_2_uncertain,1
bonds,504,2023-01-23,point_alpha_1_2_uncertain,1
bonds,504,2023-01-26,point_alpha_1_2_uncertain,13
bonds,504,2023-01-30,point_alpha_1_2_uncertain,1
bonds,504,2023-02-21,point_alpha_1_2_uncertain,1
bonds,504,2023-02-27,point_alpha_1_2_uncertain,13
bonds,504,2023-03-01,point_alpha_1_2_uncertain,1
bonds,504,2023-03-24,point_alpha_1_2_uncertain,1
bonds,504,2023-03-29,point_alpha_1_2_uncertain,13
bonds,504,2023-03-31,point_alpha_1_2_uncertain,1
bonds,504,2023-04-24,point_alpha_1_2_uncertain,1
bonds,504,2023-04-27,point_alpha_1_2_uncertain,13
bonds,504,2023-05-02,point_alpha_1_2_uncertain,1
bonds,504,2023-05-25,point_alpha_1_2_uncertain,1
bonds,504,2023-05-30,point_alpha_1_2_uncertain,13
bonds,504,2023-06-01,point_alpha_1_2_uncertain,1
bonds,504,2023-06-26,point_alpha_1_2_uncertain,1
bonds,504,2023-06-29,point_alpha_1_2_uncertain,13
bonds,504,2023-07-03,point_alpha_1_2_uncertain,1
bonds,504,2023-07-25,point_alpha_1_2_uncertain,1
bonds,504,2023-07-28,point_alpha_1_2_uncertain,13
bonds,504,2023-08-01,point_alpha_1_2_uncertain,1
bonds,504,2023-08-23,point_alpha_1_2_uncertain,1
bonds,504,2023-08-28,point_alpha_1_2_uncertain,13
bonds,504,2023-08-30,point_alpha_1_2_uncertain,1
bonds,504,2023-09-21,point_alpha_1_2_uncertain,1
bonds,504,2023-09-26,point_alpha_1_2_uncertain,13
bonds,504,2023-09-28,point_alpha_1_2_uncertain,1
bonds,504,2023-10-20,point_alpha_1_2_uncertain,1
bonds,504,2023-10-25,point_alpha_1_2_uncertain,13
bonds,504,2023-10-27,point_alpha_1_2_uncertain,1
bonds,504,2023-11-20,point_alpha_1_2_uncertain,1
bonds,504,2023-11-23,point_alpha_1_2_uncertain,13
bonds,504,2023-11-27,point_alpha_1_2_uncertain,1
bonds,504,2023-12-19,point_alpha_1_2_uncertain,1
bonds,504,2023-12-22,point_alpha_1_2_uncertain,13
bonds,504,2023-12-26,point_alpha_1_2_uncertain,1
bonds,504,2024-01-19,point_alpha_1_2_uncertain,1
bonds,504,2024-01-24,point_alpha_1_2_uncertain,13
bonds,504,2024-01-26,point_alpha_1_2_uncertain,1
bonds,504,2024-02-19,point_alpha_1_2_uncertain,1
bonds,504,2024-02-22,point_alpha_1_2_uncertain,8
bonds,504,2024-02-22,point_alpha_gt_2_uncertain,4
bonds,504,2024-02-22,point_alpha_lt_1_uncertain,1
bonds,504,2024-02-27,point_alpha_1_2_uncertain,1
bonds,504,2024-03-21,point_alpha_gt_2_uncertain,1
bonds,504,2024-03-26,point_alpha_1_2_uncertain,4
bonds,504,2024-03-26,point_alpha_gt_2_uncertain,3
bonds,504,2024-03-26,strict_alpha_gt_2,6
bonds,504,2024-03-28,strict_alpha_gt_2,1
bonds,504,2024-04-19,point_alpha_gt_2_uncertain,1
bonds,504,2024-04-24,point_alpha_1_2_uncertain,4
bonds,504,2024-04-24,point_alpha_gt_2_uncertain,3
bonds,504,2024-04-24,strict_alpha_gt_2,6
bonds,504,2024-04-26,strict_alpha_gt_2,1
bonds,504,2024-05-21,strict_alpha_gt_2,1
bonds,504,2024-05-24,point_alpha_1_2_uncertain,4
bonds,504,2024-05-24,point_alpha_gt_2_uncertain,2
bonds,504,2024-05-24,strict_alpha_gt_2,7
bonds,504,2024-05-28,strict_alpha_gt_2,1
bonds,504,2024-06-20,strict_alpha_gt_2,1
bonds,504,2024-06-25,point_alpha_1_2_uncertain,4
bonds,504,2024-06-25,point_alpha_gt_2_uncertain,1
bonds,504,2024-06-25,strict_alpha_gt_2,8
bonds,504,2024-06-27,strict_alpha_gt_2,1
bonds,504,2024-07-19,strict_alpha_gt_2,1
bonds,504,2024-07-24,point_alpha_1_2_uncertain,4
bonds,504,2024-07-24,point_alpha_gt_2_uncertain,1
bonds,504,2024-07-24,strict_alpha_gt_2,8
bonds,504,2024-07-26,strict_alpha_gt_2,1
bonds,504,2024-08-19,strict_alpha_gt_2,1
bonds,504,2024-08-22,point_alpha_1_2_uncertain,3
bonds,504,2024-08-22,point_alpha_gt_2_uncertain,3
bonds,504,2024-08-22,strict_alpha_gt_2,7
bonds,504,2024-08-26,strict_alpha_gt_2,1
bonds,504,2024-09-17,strict_alpha_gt_2,1
bonds,504,2024-09-20,point_alpha_1_2_uncertain,2
bonds,504,2024-09-20,point_alpha_gt_2_uncertain,3
bonds,504,2024-09-20,strict_alpha_gt_2,8
bonds,504,2024-09-24,strict_alpha_gt_2,1
bonds,504,2024-10-16,strict_alpha_gt_2,1
bonds,504,2024-10-21,point_alpha_1_2_uncertain,2
bonds,504,2024-10-21,point_alpha_gt_2_uncertain,1
bonds,504,2024-10-21,strict_alpha_gt_2,10
bonds,504,2024-10-23,strict_alpha_gt_2,1
bonds,504,2024-11-14,strict_alpha_gt_2,1
bonds,504,2024-11-19,point_alpha_1_2_uncertain,2
bonds,504,2024-11-19,point_alpha_gt_2_uncertain,2
bonds,504,2024-11-19,strict_alpha_gt_2,9
bonds,504,2024-11-21,strict_alpha_gt_2,1
bonds,504,2024-12-13,strict_alpha_gt_2,1
bonds,504,2024-12-18,point_alpha_1_2_uncertain,2
bonds,504,2024-12-18,point_alpha_gt_2_uncertain,4
bonds,504,2024-12-18,strict_alpha_gt_2,7
bonds,504,2024-12-20,strict_alpha_gt_2,1
bonds,504,2025-01-16,strict_alpha_gt_2,1
bonds,504,2025-01-21,point_alpha_1_2_uncertain,2
bonds,504,2025-01-21,point_alpha_gt_2_uncertain,1
bonds,504,2025-01-21,strict_alpha_gt_2,10
bonds,504,2025-01-23,strict_alpha_gt_2,1
bonds,504,2025-02-14,strict_alpha_gt_2,1
bonds,504,2025-02-19,point_alpha_1_2_uncertain,1
bonds,504,2025-02-19,point_alpha_gt_2_uncertain,2
bonds,504,2025-02-19,point_alpha_lt_1_uncertain,1
bonds,504,2025-02-19,strict_alpha_gt_2,9
bonds,504,2025-02-21,strict_alpha_gt_2,1
bonds,504,2025-03-17,strict_alpha_gt_2,1
bonds,504,2025-03-20,point_alpha_1_2_uncertain,1
bonds,504,2025-03-20,point_alpha_gt_2_uncertain,2
bonds,504,2025-03-20,point_alpha_lt_1_uncertain,1
bonds,504,2025-03-20,strict_alpha_gt_2,9
bonds,504,2025-03-24,strict_alpha_gt_2,1
bonds,504,2025-04-15,strict_alpha_gt_2,1
bonds,504,2025-04-18,point_alpha_1_2_uncertain,1
bonds,504,2025-04-18,point_alpha_gt_2_uncertain,1
bonds,504,2025-04-18,point_alpha_lt_1_uncertain,1
bonds,504,2025-04-18,strict_alpha_gt_2,10
bonds,504,2025-04-22,strict_alpha_gt_2,1
bonds,504,2025-05-16,strict_alpha_gt_2,1
bonds,504,2025-05-21,point_alpha_1_2_uncertain,1
bonds,504,2025-05-21,point_alpha_gt_2_uncertain,1
bonds,504,2025-05-21,point_alpha_lt_1_uncertain,1
bonds,504,2025-05-21,strict_alpha_gt_2,10
bonds,504,2025-05-23,strict_alpha_gt_2,1
bonds,504,2025-06-17,strict_alpha_gt_2,1
bonds,504,2025-06-20,point_alpha_1_2_uncertain,1
bonds,504,2025-06-20,point_alpha_gt_2_uncertain,2
bonds,504,2025-06-20,point_alpha_lt_1_uncertain,1
bonds,504,2025-06-20,strict_alpha_gt_2,9
bonds,504,2025-06-24,strict_alpha_gt_2,1
bonds,504,2025-07-16,strict_alpha_gt_2,1
bonds,504,2025-07-21,point_alpha_1_2_uncertain,1
bonds,504,2025-07-21,point_alpha_gt_2_uncertain,3
bonds,504,2025-07-21,point_alpha_lt_1_uncertain,1
bonds,504,2025-07-21,strict_alpha_gt_2,8
bonds,504,2025-07-23,strict_alpha_gt_2,1
bonds,504,2025-08-14,strict_alpha_gt_2,1
bonds,504,2025-08-19,point_alpha_1_2_uncertain,1
bonds,504,2025-08-19,point_alpha_gt_2_uncertain,3
bonds,504,2025-08-19,point_alpha_lt_1_uncertain,1
bonds,504,2025-08-19,strict_alpha_gt_2,8
bonds,504,2025-08-21,strict_alpha_gt_2,1
bonds,504,2025-09-12,strict_alpha_gt_2,1
bonds,504,2025-09-17,point_alpha_gt_2_uncertain,2
bonds,504,2025-09-17,point_alpha_lt_1_uncertain,1
bonds,504,2025-09-17,strict_alpha_gt_2,10
bonds,504,2025-09-19,strict_alpha_gt_2,1
bonds,504,2025-10-13,strict_alpha_gt_2,1
bonds,504,2025-10-16,point_alpha_gt_2_uncertain,3
bonds,504,2025-10-16,point_alpha_lt_1_uncertain,1
bonds,504,2025-10-16,strict_alpha_gt_2,9
bonds,504,2025-10-20,strict_alpha_gt_2,1
bonds,504,2025-11-11,strict_alpha_gt_2,1
bonds,504,2025-11-14,point_alpha_gt_2_uncertain,2
bonds,504,2025-11-14,point_alpha_lt_1_uncertain,1
bonds,504,2025-11-14,strict_alpha_gt_2,10
bonds,504,2025-11-18,strict_alpha_gt_2,1
bonds,504,2025-12-10,strict_alpha_gt_2,1
bonds,504,2025-12-15,point_alpha_gt_2_uncertain,3
bonds,504,2025-12-15,point_alpha_lt_1_uncertain,1
bonds,504,2025-12-15,strict_alpha_gt_2,9
bonds,504,2025-12-17,strict_alpha_gt_2,1
bonds,504,2026-01-14,strict_alpha_gt_2,1
bonds,504,2026-01-19,point_alpha_gt_2_uncertain,2
bonds,504,2026-01-19,point_alpha_lt_1_uncertain,1
bonds,504,2026-01-19,strict_alpha_gt_2,10
bonds,504,2026-01-21,strict_alpha_gt_2,1
bonds,504,2026-02-12,strict_alpha_gt_2,1
bonds,504,2026-02-17,point_alpha_1_2_uncertain,1
bonds,504,2026-02-17,point_alpha_gt_2_uncertain,2
bonds,504,2026-02-17,strict_alpha_gt_2,10
bonds,504,2026-02-19,strict_alpha_gt_2,1
bonds,504,2026-03-16,strict_alpha_gt_2,1
bonds,504,2026-03-19,point_alpha_1_2_uncertain,1
bonds,504,2026-03-19,point_alpha_gt_2_uncertain,3
bonds,504,2026-03-19,strict_alpha_gt_2,9
bonds,504,2026-03-23,strict_alpha_gt_2,1
bonds,504,2026-04-14,strict_alpha_gt_2,1
bonds,504,2026-04-17,point_alpha_1_2_uncertain,1
bonds,504,2026-04-17,point_alpha_gt_2_uncertain,3
bonds,504,2026-04-17,strict_alpha_gt_2,9
bonds,504,2026-04-21,strict_alpha_gt_2,1
bonds,504,2026-05-14,strict_alpha_gt_2,1
bonds,504,2026-05-15,point_alpha_1_2_uncertain,1
